# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
891.0000 M24 10000 1 171.0000 P31 P42 297 N P31->P42
1396.0000 M18 10000 13 856.0000 P144 V174 285 N P144->V161->V194->P19->P101->V189->V193->P125->V155->P4->V177->P134->P62->V174
1559.0000 M35 10000 17 509.0000 V193 V173 291 N V193->V198->P12->V155->V175->P126->V192->V177->P134->P125->P62->V174->V186->V161->V194->V179->P11->V173
2585.0000 M16 10000 6 2105.0000 P141 P80 264 N P141->P74->V159->V156->V157->V186->P80
2925.0000 M95 10000 4 75.0000 P143 V167 298 N P143->V187->V166->V186->V167
3147.0000 M98 10000 8 207.0000 V151 P118 296 N V151->P17->V191->V169->V152->V186->V181->V185->P118
3150.0000 M25 10000 34 2400.0000 P3 V162 260 N P3->V170->P34->V194->P115->V180->V163->V160->V178->P15->V152->P77->P58->V182->V153->V197->P90->V151->V164->P129->V195->V156->P30->V159->P48->V175->V192->V198->P61->V157->P26->V186->V181->P86->V162
3181.0000 M62 10000 15 1321.0000 P14 V181 277 N P14->V195->V182->V176->P59->P38->V173->V196->V154->V172->P85->V185->V157->P103->V153->V181
3195.0000 M104 10000 1 75.0000 P49 V174 298 N P49->V174
3286.0000 M42 10000 33 2026.0000 P1 V177 266 N P1->P113->P6->P88->P43->P72->P80->P13->P49->P7->P61->P96->V173->V150->V152->P146->P118->V193->V195->P26->V178->V182->P75->V176->V198->P124->V190->V169->V191->P116->V151->P94->P71->V177
3700.0000 M30 10000 37 2800.0000 V168 V189 253 N V168->V170->V163->V197->P91->V183->V164->V173->P142->P105->V151->V178->P26->V188->P139->P102->V150->P50->P47->V186->P111->P23->P108->P90->V160->V192->V196->V172->P97->P87->V154->V171->P83->V156->P64->P56->V175->V189
4334.0000 M86 10000 30 1754.0000 P89 P28 270 N P89->P85->V173->V196->V154->P38->V172->P108->V159->V168->V186->V192->V160->P21->P69->V182->V165->V151->P142->P106->V181->V167->V190->P47->V171->P66->V184->V178->V152->V194->P28
4581.0000 M128 10000 11 741.0000 P146 V164 287 N P146->V176->V196->V188->V167->P118->V151->P120->V193->V154->P142->V164
4660.0000 M124 10000 26 940.0000 P123 P120 284 N P123->V157->V189->P78->V184->P15->V192->V161->P27->V187->P74->V195->P30->V159->P59->V155->V152->V177->P103->V153->P66->V163->V193->V164->P80->V154->P120
5312.0000 M94 10000 25 2492.0000 P116 P135 258 N P116->P115->P16->V185->V173->V154->V171->P147->P65->V163->P33->P126->P47->V175->V186->V183->P30->V157->V164->V153->P103->P12->P131->P86->V187->P135
5629.0000 M108 10000 38 2389.0000 P78 P131 260 N P78->V157->V177->P135->P124->P57->V195->P80->V156->V194->V159->P27->V184->V193->P118->V164->P120->V163->P142->P106->P127->V171->V154->V178->V189->V179->P90->V153->V175->V160->P110->P42->P112->V182->V181->V166->V150->V170->P131
5715.0000 M113 10000 31 2325.0000 V173 P56 261 N V173->V185->V158->V151->P54->P7->V198->V197->P60->P37->P129->P101->V192->V171->P75->P122->P5->P76->V180->V159->P116->P89->P9->V168->P17->P134->V176->P78->P91->P121->V178->P56
5776.0000 M31 10000 39 4846.0000 V189 P95 219 N V189->V177->P101->V154->V174->P99->V161->V184->P144->V185->V198->V176->P84->V162->P16->P115->V173->P128->V193->V152->P147->P65->V163->P33->P126->P47->V175->V186->V183->P30->V157->V164->V153->P103->P12->P131->P86->V187->P135->P95
6117.0000 M202 10000 2 57.0000 P23 V152 299 N P23->V170->V152
6444.0000 M133 10000 22 2454.0000 P121 V167 259 N P121->V180->P24->V165->V195->V169->P71->V163->V197->V187->V185->P8->P17->V152->P13->V190->P53->V170->P133->V154->V164->P98->V167
6583.0000 M186 10000 9 1003.0000 P66 V166 283 N P66->V179->P126->V180->V185->V190->V197->P149->P72->V166
6674.0000 M143 10000 42 2384.0000 P86 V180 260 N P86->P120->P80->V154->P142->V159->P106->V164->V171->V178->V163->V190->P66->V153->P144->V184->V189->V198->P77->V166->V161->V181->P148->V157->P51->P94->V167->V165->V172->V177->V179->P110->P11->V150->P20->V152->P69->V195->V197->P63->P130->V182->V180
7026.0000 M41 10000 60 5796.0000 P65 V170 203 N P65->P22->V166->V156->P75->V182->P127->V191->V169->V188->V159->V197->P139->V190->P20->V179->P21->V184->P10->V165->V192->V175->P30->V154->V173->V196->V172->P85->V185->V157->P103->V153->V181->V162->P125->V183->P74->P86->P57->P124->P27->P140->V177->P64->P145->V193->P7->V160->P83->V198->P84->V194->P0->P54->V174->V187->V150->P138->V171->V151->V170
7059.0000 M175 10000 4 1809.0000 P100 V186 269 N P100->P18->P38->P52->V186
7071.0000 M135 10000 39 3021.0000 P92 P63 249 N P92->P110->V159->V161->P112->P69->P42->V175->V179->V176->V162->V193->P72->V151->V160->V185->V182->V156->V153->V155->P20->V166->P11->V184->P128->V152->V197->P109->V195->P107->P2->V165->V191->P16->P71->V180->P86->P3->V181->P63
7163.0000 M220 10000 18 563.0000 P131 V185 290 N P131->V193->V159->V158->P148->P90->V182->V180->P144->V160->V179->V192->P2->P37->V153->V173->V184->V174->V185
7296.0000 M188 10000 31 1656.0000 P72 V164 272 N P72->P112->V177->V167->V179->V192->P74->V196->V171->P36->V198->V188->V191->P144->V193->V194->V197->V185->V180->P126->V181->V186->V163->V174->P21->P130->V156->V150->P71->V173->P4->V164
7319.0000 M194 10000 13 1499.0000 P60 V156 275 N P60->P31->P135->P105->P47->P117->P122->V162->P50->V160->P91->V191->P95->V156
7490.0000 M205 10000 17 1340.0000 V194 V153 277 N V194->P124->P76->V177->V152->V183->P64->V166->V189->V162->P143->V186->P101->V155->V160->V193->V197->V153
7500.0000 M195 10000 23 1650.0000 P34 V173 272 N P34->P116->P136->P145->P137->V192->P122->P95->P108->V177->P10->V176->P77->P6->P9->V162->V168->V156->P41->P113->P43->P26->V154->V173
7644.0000 M196 10000 21 1764.0000 V161 P132 270 N V161->P140->P106->V153->V187->V184->V174->V196->V194->P26->V197->P65->V152->P76->P124->P117->P52->V193->V171->V157->V173->P132
7860.0000 M252 10000 7 300.0000 P72 P130 295 N P72->P93->V182->P126->V160->V166->V187->P130
