# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1045.0000 M23 10000 8 355.0000 P74 V184 294 N P74->P55->V156->V197->V169->V193->V188->V154->V184
1454.0000 M22 10000 12 794.0000 P124 P62 286 N P124->P97->V160->P101->V154->V184->P18->V169->V161->V164->P59->P20->P62
1766.0000 M37 10000 13 656.0000 V152 V161 289 N V152->P106->V184->P126->P104->V175->V166->V153->P66->P56->V197->V165->V181->V161
1892.0000 M26 10000 17 1112.0000 V178 V168 281 N V178->V163->P16->V182->P27->V151->P131->V186->P135->V184->P36->V167->P47->V160->P26->V153->V170->V168
2002.0000 M25 10000 8 1252.0000 P3 V162 279 N P3->P29->V171->V186->P67->V172->P119->V158->V162
2952.0000 M52 10000 6 1392.0000 P82 V163 276 N P82->V151->V171->V198->P146->P23->V163
2978.0000 M92 10000 6 218.0000 P86 P104 296 N P86->V184->P135->P105->P18->P21->P104
3229.0000 M104 10000 5 109.0000 P49 V174 298 N P49->V168->V183->P52->V198->V174
3348.0000 M68 10000 28 1308.0000 V177 P91 278 N V177->V188->P0->P54->V165->V189->V191->V181->P16->V195->V187->V167->V156->P115->V178->P110->V172->V183->V182->V180->P106->V154->P138->P97->P100->V159->V164->V198->P91
3461.0000 M83 10000 21 971.0000 P86 P69 283 N P86->P83->V197->P133->P19->P24->V151->V177->P21->V193->P137->P101->P10->P104->P77->V170->V156->P18->P135->P89->V175->P69
3767.0000 M98 10000 22 827.0000 V151 P118 286 N V151->V170->V168->V198->P79->V180->V179->V193->P137->V183->V161->V187->V173->P132->V191->V172->V176->V164->P4->V197->V157->P10->P118
3991.0000 M100 10000 12 991.0000 V178 V156 283 N V178->P17->P63->V195->P105->P82->V194->V176->P1->V157->P124->V171->V156
4075.0000 M86 10000 16 1495.0000 P89 P28 275 N P89->P120->P94->P121->P69->P133->P122->P140->P130->P55->P18->P117->P104->V158->P128->V151->P28
4432.0000 M75 10000 44 2182.0000 P135 P34 263 N P135->V168->V197->P92->P48->V193->V151->P86->V184->P17->P18->P105->P104->P21->V179->V152->P136->V192->V191->V167->P19->V176->V158->P77->P118->P10->V181->P49->V155->V173->V157->P1->V189->V156->V171->V195->V177->P111->V175->P124->P63->P114->P57->V174->P34
4472.0000 M134 10000 16 452.0000 P91 V192 292 N P91->V163->V172->V167->P122->V166->V150->V151->P2->P98->V165->V154->V157->P29->V185->V189->V192
4725.0000 M139 10000 9 555.0000 P54 P139 290 N P54->P56->V162->V177->V190->V176->P67->V196->V172->P139
5082.0000 M106 10000 15 1902.0000 P73 V153 268 N P73->P0->P58->P39->V190->P41->V180->V161->V186->P35->P129->V187->P7->V176->P60->V153
5128.0000 M66 10000 39 3148.0000 V193 V174 247 N V193->V184->P131->P79->V197->P114->V198->V191->V163->V196->P7->V188->P126->V153->P58->V175->V187->V166->P140->P133->P69->P94->V156->V154->P88->P120->P14->P43->P68->V177->V162->V157->V176->V169->V159->V189->P24->V194->P139->V174
5832.0000 M8 10000 54 5592.0000 V198 V172 206 N V198->P138->V154->V166->V179->P29->P15->V159->P139->V167->V171->V160->P104->V194->V150->P98->V164->V197->P61->V193->V195->P21->P34->V161->V162->P100->P8->V176->P10->V177->V188->P0->P54->V165->V189->V191->V181->P16->V187->V175->V196->P109->V190->P5->P71->V163->P113->V153->P47->P80->P35->V186->P39->P13->V172
5921.0000 M71 10000 36 3791.0000 P124 P120 236 N P124->V165->P113->V190->V162->V153->V163->P47->P80->P35->P5->P64->P107->V185->V180->V157->P129->P75->V154->P60->V187->V186->V197->V184->V181->P46->P143->P21->V179->P53->V156->P134->P108->P139->P48->V177->P120
5956.0000 M122 10000 16 2296.0000 P149 V187 261 N P149->P146->V159->P108->P38->P70->P28->P19->P76->V185->V189->V177->V181->V188->V186->P134->V187
6238.0000 M207 10000 1 28.0000 V158 P51 299 N V158->P51
6271.0000 M184 10000 18 751.0000 P65 P69 287 N P65->P87->V169->V156->V171->V189->V193->V173->V170->V161->P147->V183->P34->V150->P8->V152->P123->V184->P69
6374.0000 M155 10000 24 1724.0000 P2 V161 271 N P2->V160->V182->V156->P15->V150->V191->P108->P14->V184->P57->V192->P21->P131->P83->P91->P22->P89->P61->P116->V163->V176->P33->V152->V161
6479.0000 M179 10000 21 1109.0000 V160 P124 281 N V160->V155->V174->V170->P6->P47->V161->V183->P8->P59->P26->V158->V184->V176->V190->P93->P79->V159->P148->V156->V167->P124
6795.0000 M119 10000 17 3225.0000 P106 V177 246 N P106->V198->P116->V156->P104->V174->P127->P103->P38->P18->V192->V162->V181->V194->V158->V187->V153->V177
6870.0000 M195 10000 16 1020.0000 P34 V173 283 N P34->V191->V160->P23->P123->V170->P69->P47->V183->V198->V168->V176->V184->P13->P65->P148->V173
6932.0000 M178 10000 13 1592.0000 P104 P64 273 N P104->P38->P18->V192->V162->V181->V194->V158->V187->V153->V177->V150->V163->P64
7086.0000 M158 10000 19 2346.0000 P32 P1 260 N P32->P145->V157->P61->V188->P130->P48->P120->P117->V173->P53->P139->V174->P17->V178->V181->V168->V160->V153->P1
7432.0000 M209 10000 24 1162.0000 P55 V192 280 N P55->V188->P90->P65->V185->P59->V190->P69->V170->V180->V175->V155->P113->V196->V173->P148->V169->V151->V172->V164->P28->V165->P7->P66->V192
7434.0000 M212 10000 32 1074.0000 P9 P125 282 N P9->V161->V152->V180->V163->P137->P33->V177->P106->V164->V178->V187->V168->V173->V172->P70->P19->P0->V198->V182->V192->P121->V151->V191->P56->P95->V175->V153->V158->V186->V179->V159->P125
7589.0000 M219 10000 17 1019.0000 V156 P76 283 N V156->V157->V193->P62->V170->V195->V188->P133->V186->V167->V176->P70->V161->V194->V189->P47->V153->P76
7745.0000 M225 10000 16 995.0000 P42 V175 283 N P42->V174->V161->P20->P27->V179->P75->V195->P67->V160->V168->V158->V190->V182->P110->V166->V175
7747.0000 M200 10000 33 1747.0000 P69 V156 270 N P69->P47->V183->V198->V168->P112->P13->V176->V184->V172->P10->V170->P3->P125->V161->V191->P91->P23->V165->V151->V189->P93->V188->V164->V182->V169->P148->P131->P22->P65->V178->V192->V193->V156
8196.0000 M10 10000 74 7896.0000 P33 P39 168 N P33->V153->V162->V176->V167->V197->V156->V166->V159->V171->P44->V172->P78->V174->P122->V169->P11->P64->V160->P71->V168->V189->V178->V154->P15->V161->P68->V182->V183->V181->P110->V164->V150->V193->V184->V173->P22->P147->P56->P67->V191->P61->P12->V198->P43->V157->P31->V151->P36->P18->P38->V188->V186->P134->V185->V187->P128->V196->P80->V192->V194->P108->V158->V177->V163->P119->P136->V190->V195->V152->P94->P86->P96->V170->P39
8421.0000 M226 10000 34 1641.0000 P9 P19 272 N P9->P32->V178->V192->V160->V168->V181->V158->V166->V190->V154->V191->P117->P1->V187->V164->P33->V182->V172->P18->V155->V167->V176->V186->P111->V175->V189->V159->P60->V169->P15->V156->V173->P0->P19
8647.0000 M261 10000 13 817.0000 P98 P125 286 N P98->P25->P99->V191->V162->P17->V163->P127->V175->V185->P82->V194->V160->P125
8698.0000 M198 10000 26 2758.0000 P141 V185 254 N P141->P107->P76->P43->P19->P61->P145->P50->P67->P46->P119->V163->V197->P54->P77->P105->P86->V181->V166->V175->V153->P21->P108->V178->P26->V167->V185
8704.0000 M255 10000 10 1054.0000 P141 V178 282 N P141->P24->V162->V167->P64->V169->P38->P139->V182->V183->V178
8785.0000 M239 10000 11 1615.0000 P136 V172 273 N P136->V183->V197->V163->P119->V166->P114->V184->P62->P149->P88->V172
8875.0000 M193 10000 35 3085.0000 V182 P43 248 N V182->V159->V179->V162->V180->P67->V169->P37->P134->P60->V171->V155->P36->V174->V181->P136->P110->P115->P146->V158->V194->V153->V187->V163->V193->V150->P64->P74->V164->V157->P84->P71->P24->P44->V185->P43
9164.0000 M231 10000 12 2234.0000 V163 P144 262 N V163->V150->P29->V191->V187->V193->P74->P64->P24->P71->P44->P84->P144
9683.0000 M310 10000 11 383.0000 V175 P74 293 N V175->V188->V187->P100->V160->V162->P109->V182->P125->P82->V152->P74
9972.0000 M259 10000 42 2202.0000 V162 V159 263 N V162->V188->V166->P121->V175->P0->V189->P64->V192->P38->V169->P34->V181->V194->V187->V176->V167->P52->V150->V183->V185->V178->V182->P26->V173->V193->V177->V180->P21->P2->V190->P92->V155->P43->P118->V161->V154->P104->V163->P93->P71->P98->V159
10067.0000 M325 10000 16 317.0000 P57 V175 294 N P57->P14->P105->V196->V170->V193->V180->P134->V177->P96->V185->V167->V173->P89->P111->V197->V175
10069.0000 M238 10000 36 2929.0000 V196 V168 251 N V196->V174->V186->V194->V161->V179->V192->V180->P126->V178->P110->V166->V163->V181->P0->P26->V151->P35->P2->P92->V195->P44->P118->P21->P98->P25->V173->P142->P43->V188->P104->P71->V176->V160->V159->P127->V168
10362.0000 M128 10000 47 6522.0000 P146 V164 191 N P146->P149->V185->V156->P100->P104->P38->P18->V192->V162->V181->V194->V158->V187->V153->V177->V150->V163->P64->P74->V193->V191->P115->P24->V176->P29->P103->V190->V180->V178->P21->V182->V157->P92->P43->V166->P118->V161->V173->V154->P98->V188->P71->P93->P127->V159->P40->V164
10398.0000 M340 10000 3 198.0000 P13 P2 296 N P13->V176->P129->P2
10478.0000 M309 10000 17 1208.0000 P18 V196 279 N P18->V180->P95->P27->V150->P35->V189->V174->V185->V156->P32->V164->V162->P30->V183->P119->V178->V196
10829.0000 M338 10000 6 689.0000 P82 V155 288 N P82->V177->P124->V196->P125->V175->V155
10944.0000 M286 10000 44 2364.0000 P6 V156 260 N P6->V180->P41->P20->P58->P142->P97->V183->P116->P12->P121->P113->P119->P3->P83->P60->P0->P111->P66->P141->P81->P24->P13->P37->P48->P44->P75->P34->P88->P22->P38->P129->P43->P106->P61->V176->V167->V195->P122->P128->P107->P120->V154->V188->V156
11131.0000 M320 10000 10 1531.0000 P63 P28 274 N P63->V195->V155->P148->P138->P127->P12->V159->P65->P73->P28
11150.0000 M272 10000 50 2990.0000 P64 V188 250 N P64->V162->P38->V169->P34->V181->V194->V187->V176->V167->P52->V150->V183->V185->V178->V182->P26->V173->V193->V177->V180->P21->P2->P84->V155->V158->V161->V175->V196->P73->V179->V190->P127->P118->P93->P92->P104->V168->P40->V191->V154->P25->P87->V164->P142->V174->V172->V165->P110->P48->V188
11157.0000 M252 10000 54 3597.0000 P72 P130 240 N P72->P128->V188->V179->V158->P143->P145->V183->P3->V171->V174->P113->V176->V150->P65->P90->V160->V192->P122->V164->V180->V185->P73->V181->V170->P20->P38->V165->V197->V177->P16->V178->V190->V161->V173->P127->V175->P84->V196->P31->P101->P64->V193->V162->V151->P70->V194->V191->V168->V198->P75->P19->P23->P62->P130
11358.0000 M149 10000 73 6888.0000 V192 P142 185 N V192->V189->V185->V167->P30->P96->V182->P22->P91->P67->P81->P54->P50->V163->V190->V176->P106->V194->V168->V181->V159->V152->V178->P146->V179->P109->V151->P11->V180->V187->P128->P110->V197->V186->V160->V196->V162->P80->P53->P45->P1->V172->P18->V175->V183->P19->V173->V156->P15->P92->P60->V169->P101->P0->P121->P6->P83->P119->V161->P25->P111->P98->P24->P40->P118->P141->P58->V174->P44->P116->P3->P41->V195->P142
11408.0000 M299 10000 48 2438.0000 P48 V163 259 N P48->V178->V157->V167->V188->V176->V175->P30->V198->V155->P91->V160->P56->P42->V184->P1->V171->V186->V187->P115->V156->V193->P32->V182->V169->V165->P19->V173->V162->P89->P111->P14->P57->V180->V183->V179->P64->P101->V190->V195->V153->P17->P40->V168->V172->V197->V159->V152->V163
11476.0000 M360 10000 9 676.0000 P27 V161 288 N P27->P39->V164->V160->V153->P80->P5->P135->P6->V161
11542.0000 M347 10000 12 1132.0000 P122 P25 281 N P122->P128->P66->P56->P149->P115->P107->P120->P29->P136->P63->P111->P25
11590.0000 M314 10000 35 2170.0000 P46 P11 263 N P46->V182->V168->P81->V150->P0->P13->V156->V163->P33->V188->P138->V181->P66->P113->P21->P44->V176->P43->P48->P2->P129->P71->P106->P107->P120->V154->P128->P63->V198->P25->P56->P22->P31->P26->P11
11591.0000 M336 10000 32 1511.0000 P127 V175 274 N P127->V160->P71->V158->P87->V187->V174->P2->P48->V176->P129->P107->P120->P106->P104->V154->P128->P63->V182->V198->P25->P56->P113->V193->V155->V191->P81->V170->P12->V188->V156->V150->V175
11785.0000 M289 10000 43 3115.0000 P143 P109 248 N P143->V172->P133->P3->P113->P24->P141->P66->P61->V174->P138->P37->P81->P21->P38->P75->P122->V167->V176->V187->V166->V197->P14->V180->V195->P111->V150->V163->V193->V196->V155->V154->V161->V169->P42->P107->P53->P137->P132->P148->P63->P8->P136->P109
11886.0000 M396 10000 2 6.0000 P13 P62 299 N P13->V191->P62
12034.0000 M112 10000 40 8674.0000 P75 V190 155 N P75->P129->P35->P72->V193->P3->V175->V189->V159->V177->P78->P99->V165->P20->V161->V185->V184->V155->P88->P50->P10->V164->P112->V166->P39->V194->P108->V163->P126->P135->P103->P143->P131->P6->P54->P4->P51->P67->P85->P19->V190
12265.0000 M171 10000 43 7135.0000 P103 V175 181 N P103->P38->P104->P73->V165->P99->P21->P144->P142->P43->P63->P108->P88->P75->P60->V161->V159->P12->P114->V153->V195->V167->V176->V187->V166->V197->P37->P56->P115->V160->V189->V156->P66->P14->P11->P22->P111->V191->V188->V184->P13->P126->P100->V175
12418.0000 M412 10000 1 58.0000 V181 V178 299 N V181->V178
12568.0000 M296 10000 56 3688.0000 P98 P95 238 N P98->P83->P119->P0->P40->P111->P58->P24->P97->V192->P141->P142->P116->V156->V150->V180->P44->V163->P21->V188->P43->P113->V182->P81->V160->V158->P71->V187->V198->V154->P92->P127->V153->P120->P107->V176->P63->P25->P110->V164->P106->V174->P60->P145->P26->V170->V157->P144->V193->V190->V171->P45->P49->V168->P8->P23->P95
12584.0000 M335 10000 27 2534.0000 P19 P95 257 N P19->V162->P64->V164->V174->V193->V191->V159->V170->V194->V168->V198->V151->V153->P68->P75->V157->P60->P97->V190->V171->P45->P49->P111->P23->P8->P73->P95
