# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1185.0000 M37 10000 4 75.0000 V152 V161 298 N V152->P124->V162->P109->V161
1553.0000 M23 10000 17 863.0000 P74 V184 285 N P74->V175->V186->V191->V151->V193->V194->V177->V165->V192->V153->P86->V164->P55->V168->P119->V157->V184
1585.0000 M41 10000 16 355.0000 P65 V170 294 N P65->V182->V165->V191->P140->P45->V161->V193->V173->P130->V198->P109->V171->P53->V187->V177->V170
2300.0000 M58 10000 2 560.0000 P20 P14 290 N P20->P52->P14
2333.0000 M46 10000 15 953.0000 P45 V176 284 N P45->P65->P116->V160->P134->P130->V179->V194->P135->P147->V195->V197->P17->P41->V157->V176
2436.0000 M28 10000 30 1596.0000 P84 V167 273 N P84->P110->P12->P2->V154->P44->P1->V162->V164->P81->P128->V197->V194->V157->P73->V177->V166->P9->V150->V193->V175->V182->V181->P119->P66->P7->V156->V158->V155->V173->V167
2468.0000 M9 10000 15 2198.0000 P15 P44 263 N P15->P0->V169->V172->P61->P118->P4->P90->P139->P36->P43->P122->P117->V196->V150->P44
3113.0000 M35 10000 34 2063.0000 V193 V173 265 N V193->P143->P138->V196->P12->P126->P84->V190->V179->P103->P104->V163->V162->P112->P68->V197->V198->P32->P53->V154->V186->P87->V161->P140->P109->V171->V177->V152->V192->P52->P30->P58->P19->V181->V173
3281.0000 M64 10000 15 1361.0000 P148 P77 277 N P148->V152->V154->V153->P3->P61->V184->V177->P43->V164->V197->V166->P92->P78->V155->P77
3368.0000 M101 10000 10 338.0000 V165 V151 294 N V165->V152->V158->V174->P1->V170->V195->V193->V192->V159->V151
3557.0000 M106 10000 7 377.0000 P73 V153 293 N P73->P119->P123->V160->V159->V150->V174->V153
3676.0000 M104 10000 6 556.0000 P49 V174 290 N P49->V197->V176->V181->V170->V158->V174
3677.0000 M122 10000 3 17.0000 P149 V187 299 N P149->P120->V168->V187
3688.0000 M105 10000 7 538.0000 P140 P56 291 N P140->P103->V179->P60->V154->V195->V178->P56
3829.0000 M127 10000 1 19.0000 P99 P82 299 N P99->P82
4530.0000 M143 10000 8 240.0000 P86 V180 296 N P86->V155->P147->V157->P72->P16->V189->P117->V180
4592.0000 M36 10000 28 3512.0000 P13 P69 241 N P13->V159->V157->P41->V166->P89->V177->V164->V160->V152->V180->V150->V176->V168->P34->V158->P9->V167->V191->P37->P123->V170->P54->P125->P73->V189->P119->V179->P69
4750.0000 M47 10000 48 3340.0000 V177 P103 244 N V177->V171->V165->P124->V181->V174->V175->V187->V170->P97->P140->V194->V189->V176->V169->P58->P109->P52->P30->P31->P19->V172->P16->V162->P71->V167->P107->V161->P114->V154->P86->V173->V182->P56->P76->V195->V150->V179->V157->P60->P57->V188->P5->V190->V198->P44->P95->V153->P103
4830.0000 M69 10000 28 2760.0000 P14 P62 254 N P14->P52->P47->P30->P19->P22->P17->V171->V164->V157->V192->V155->V197->V153->P115->V180->P31->V172->V177->V175->V186->V176->V169->V165->V161->V195->V160->P38->P62
5825.0000 M152 10000 13 1265.0000 P41 P54 278 N P41->V156->P63->V189->P12->V178->V164->V176->P39->V165->P29->P82->P139->P54
5839.0000 M30 10000 60 4939.0000 V168 V189 217 N V168->V159->P71->V160->P148->V151->V150->V176->V191->P17->P21->V185->P127->P121->V155->V167->V186->P40->V184->V181->V173->V196->P6->V156->V188->V157->V171->P65->V182->P62->P142->P51->V179->P140->V183->V174->P76->V194->V178->P91->V170->P52->V161->P84->V192->P13->V162->P0->P44->P95->V153->P103->V180->P119->P137->V158->V197->P47->P80->P37->V189
5872.0000 M166 10000 6 892.0000 P78 P58 285 N P78->V179->V169->V194->P124->P96->P58
5968.0000 M70 10000 49 3868.0000 P39 V179 235 N P39->V163->V172->V176->P130->P75->V150->V152->P105->V153->V197->P99->P41->V192->P110->P118->V166->P12->V156->V157->V193->V167->V190->V168->P57->V170->V162->V183->V159->P141->P109->V177->V188->P35->V154->P117->V189->V191->P108->P70->V151->V160->V169->V198->P68->P40->V173->P132->P16->V179
6191.0000 M205 10000 4 41.0000 V194 V153 299 N V194->V154->V158->V193->V153
6246.0000 M147 10000 24 1836.0000 P118 P29 269 N P118->P101->V194->V153->P76->P119->P67->P130->P136->P79->P73->P114->V180->P100->P27->V190->V152->P90->P37->P80->P69->P127->V176->P117->P29
6445.0000 M117 10000 48 2935.0000 P55 V163 251 N P55->V192->P110->V186->P129->V153->V165->P47->P14->V173->P6->V156->V180->V174->V185->V159->P62->V171->V189->P61->V176->P102->P15->V164->V155->V188->V172->V182->V160->P116->V194->P133->V197->V166->V177->P88->V162->P128->V178->V150->P52->P130->P13->P73->P0->V179->V168->P44->V163
7120.0000 M223 10000 5 430.0000 P85 P115 292 N P85->V193->V182->P65->P90->P115
7142.0000 M206 10000 20 962.0000 P122 V159 283 N P122->V189->V197->P73->V156->V188->P61->V186->P3->P121->P142->V190->V196->V167->P95->V180->V175->P98->V163->V187->V159
7231.0000 M146 10000 35 2851.0000 P122 V177 252 N P122->P109->P39->P145->P76->P121->P67->P139->P106->P144->P114->P3->P47->P73->V180->P100->P27->V190->V152->V183->P127->P136->V170->P124->P149->P125->P56->V168->V179->P78->P141->V181->V188->P112->V169->V177
7335.0000 M238 10000 6 195.0000 V196 V168 296 N V196->V159->V187->P37->P133->P76->V168
7511.0000 M224 10000 13 791.0000 V198 P145 286 N V198->V187->V176->V161->P137->V168->V160->P106->P140->V152->V150->P33->V169->P145
7566.0000 M181 10000 34 2136.0000 P136 V182 264 N P136->P2->P32->P92->P76->P11->P12->V193->P64->V188->V154->P19->P46->V163->P79->P67->P60->P44->P100->P112->V187->P52->P135->P122->V185->V173->V177->V169->V165->P43->V171->P124->P27->V179->V182
7665.0000 M110 10000 43 4365.0000 P49 P47 227 N P49->V197->V176->V181->V170->V158->V174->V156->P21->P95->V150->V155->V187->P148->V192->V162->V188->P6->V190->V198->P44->V153->P103->V180->P0->V159->V195->P98->V189->V171->P52->P15->P61->V172->V160->P116->V185->P121->V175->P62->P17->P72->P102->P47
7740.0000 M200 10000 16 1740.0000 P69 V156 271 N P69->V188->P56->V167->V158->V194->P85->V185->V193->V182->P65->P90->P115->P131->V197->V155->V156
7849.0000 M218 10000 29 1309.0000 P121 P30 278 N P121->P3->V190->V196->V167->P95->V166->P133->P73->P138->V152->V168->V159->V172->V187->P64->V163->V174->V186->V164->P20->P49->P132->P10->P76->P81->P79->V184->V182->P30
7921.0000 M264 10000 1 1.0000 P103 P16 299 N P103->P16
7982.0000 M198 10000 21 2042.0000 P141 V185 265 N P141->P105->V182->V187->V181->V172->P91->P43->V152->P33->V198->P137->V161->V155->P42->P24->V174->V196->P134->V190->P106->V185
8031.0000 M266 10000 1 51.0000 P74 V163 299 N P74->V163
8055.0000 M217 10000 29 1545.0000 P30 V184 274 N P30->V183->V194->P118->V154->V156->V153->P39->P40->V162->V195->V198->P63->V193->V161->P26->V189->P86->V190->P17->V197->V167->P37->V171->V185->V163->V177->V181->V186->V184
8335.0000 M220 10000 16 1735.0000 P131 V185 271 N P131->P56->P36->V164->V158->V173->V180->P97->P107->V182->V175->P93->P35->V163->V181->V167->V185
8751.0000 M197 10000 38 2841.0000 P119 P23 252 N P119->V175->V181->V190->P22->V196->P61->P37->P64->V180->V152->V172->V159->V187->V163->V150->P134->V166->P105->P137->P62->V185->V171->V195->V177->P49->V184->P87->V192->P128->V165->P73->V176->P39->P116->V161->P16->V160->P23
8837.0000 M56 10000 82 7157.0000 P88 P50 180 N P88->P144->P39->P125->P75->P93->P12->P127->P103->P145->P45->P44->P121->P86->V172->V150->P130->P60->V153->V196->P32->P143->P105->V185->V176->P35->V168->V161->P55->P53->P90->P129->P99->P148->P19->P81->V154->V162->V181->P76->P138->P115->P101->P118->P11->P51->P73->P56->P65->V155->V198->P47->P64->V188->P92->P2->P112->P52->P46->P122->P79->P100->P97->P67->P0->V187->P13->V184->P111->V197->P82->P141->P58->P7->V195->V152->P136->P78->P113->P68->P24->P29->P50
