# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
444.0000 M1 10000 13 414.0000 P38 V151 293 N P38->P69->V157->P91->P65->P21->P37->P109->V191->V190->P74->V186->P104->V151
1100.0000 M23 10000 11 410.0000 P74 V184 293 N P74->P111->P105->V197->P48->V158->V185->V168->P136->V186->P103->V184
1833.0000 M38 10000 13 693.0000 P21 V189 288 N P21->P99->P89->P117->P35->V178->P148->P50->V196->P104->V193->V156->V170->V189
2481.0000 M72 10000 3 321.0000 P97 V158 294 N P97->P108->P100->V158
2507.0000 M81 10000 2 77.0000 P37 P52 298 N P37->V193->P52
2630.0000 M71 10000 15 500.0000 P124 P120 291 N P124->P75->V188->V151->V197->V196->V173->P138->P90->V198->P99->V167->V157->V165->V172->P120
2952.0000 M46 10000 24 1572.0000 P45 V176 273 N P45->V180->V152->V195->P100->P125->P135->V155->V186->V182->P27->V187->V158->P8->V150->V160->P91->V163->V154->P94->P139->P11->P136->V191->V176
3479.0000 M77 10000 23 1169.0000 P27 V195 280 N P27->V163->V154->V194->P69->P125->V168->V166->P66->P146->V183->V178->P38->V161->P106->P22->P97->V150->P91->P42->V177->P30->P121->V195
3834.0000 M92 10000 24 1074.0000 P86 P104 282 N P86->V183->P146->V172->P128->V158->P32->P51->P38->P143->P28->P83->P145->V180->P5->P75->P62->P33->P105->P110->P114->P9->P7->P120->P104
3856.0000 M11 10000 51 3526.0000 P82 P57 241 N P82->P112->P98->V198->P126->P78->P2->V188->P146->P148->V182->P142->P64->P35->P117->V178->P21->P50->V196->P104->V193->V156->V170->V189->P122->V179->V181->V165->V164->P3->P51->V174->V161->V173->P61->P38->V154->P5->P33->P32->P7->V155->V180->P83->P28->P145->P62->P75->V163->P72->V152->P57
4189.0000 M96 10000 29 1309.0000 P67 P55 278 N P67->P107->P71->P57->P78->V177->P142->V156->P133->P101->P44->P64->V155->V178->V165->V162->V179->P102->P129->V152->V169->V164->V181->V196->V184->V151->V197->V180->V153->P55
4652.0000 M138 10000 3 512.0000 P126 V194 291 N P126->P54->V193->V194
4699.0000 M99 10000 37 1729.0000 P39 P98 271 N P39->P62->P36->P26->P28->P143->P83->V155->P51->V180->V163->V176->P7->P75->P110->P105->P9->P114->P120->P104->P124->P35->P11->P54->P77->P10->P72->P64->P109->P137->P21->P68->P126->P138->P0->P128->P41->P98
4716.0000 M144 10000 7 396.0000 P75 P114 293 N P75->P144->V172->P90->V196->P89->V160->P114
4722.0000 M134 10000 9 702.0000 P91 V192 288 N P91->V186->V154->V162->V184->V165->V175->P73->P9->V192
5467.0000 M94 10000 44 2647.0000 P116 P135 255 N P116->V165->V181->V179->P72->V154->P49->P127->P104->V155->V193->P32->V183->V157->P39->P130->V182->V161->V184->P74->V156->P16->V170->V195->V171->V177->P25->V168->V197->V159->V163->V152->V189->V158->V160->P87->V180->P103->V169->P5->V174->V186->V173->V194->P135
5573.0000 M158 10000 11 833.0000 P32 P1 286 N P32->V153->V150->P101->V157->V167->V176->V190->V165->V178->V187->P1
5842.0000 M147 10000 17 1432.0000 P118 P29 276 N P118->P15->P135->V185->V192->P110->P145->P14->V190->V186->V177->V163->V184->V158->P65->P109->P21->P29
5902.0000 M162 10000 24 1042.0000 P134 P86 282 N P134->P68->P127->V154->P10->V155->P97->P40->P41->V162->V158->V196->V179->P8->P26->P130->V157->V186->V169->P16->V156->V184->V188->V191->P86
6193.0000 M180 10000 21 793.0000 P78 P74 286 N P78->V193->P147->V177->V164->P9->V181->V150->P55->P23->V185->P33->V194->V159->V156->V182->P22->P31->V171->P45->P40->P74
6263.0000 M198 10000 5 323.0000 P141 V185 294 N P141->V197->V164->P8->V190->V185
6748.0000 M201 10000 17 718.0000 P126 P13 288 N P126->P24->V191->P5->V153->V164->V197->P8->V190->V185->V155->V163->V187->P63->V156->V174->P141->P13
7038.0000 M146 10000 28 2658.0000 P122 V177 255 N P122->P35->P66->V156->V186->P101->P0->V153->P54->V157->V194->V178->P47->P138->P22->P148->P117->P136->P34->P127->V159->P74->V192->V175->P120->P134->V171->P125->V177
7149.0000 M205 10000 13 999.0000 V194 V153 283 N V194->V156->V181->V167->V159->P30->V168->V177->P65->V182->P145->P111->V173->V153
7381.0000 M189 10000 20 1711.0000 P96 P66 271 N P96->P12->P25->P63->P51->V163->V190->P124->V164->V187->V170->V180->V178->P126->V175->V169->V154->V172->V194->V188->P66
7450.0000 M115 10000 58 4000.0000 V195 P15 233 N V195->P30->V177->P42->P126->V191->V151->P94->P31->V174->V175->V160->P112->P79->V154->V171->P131->V167->P85->V153->P113->P60->V193->V173->V196->V198->P95->P17->V185->P90->V182->V169->P27->V159->P105->V187->V178->V190->V192->V152->P6->P56->V162->P1->P118->V166->V186->P43->P3->P86->V180->V183->P59->V157->V170->P7->P4->V197->P15
7549.0000 M171 10000 39 2419.0000 P103 V175 259 N P103->V163->V151->V154->V179->V196->P26->P8->V173->V186->V155->V157->V189->V169->P130->V158->P16->V184->V188->V153->V191->P86->P89->V162->V152->V166->V195->P126->V180->V170->V178->P14->V197->P112->V172->V150->V174->P127->P88->V175
7714.0000 M236 10000 12 634.0000 P35 P96 289 N P35->V181->V175->P118->P105->V154->V189->V164->V178->P94->P0->V176->P96
7974.0000 M135 10000 29 3924.0000 P92 P63 234 N P92->V158->P37->P149->V195->V185->P67->P79->V172->P115->V181->P102->V175->P62->P30->V194->V156->V167->V159->V168->V177->P65->V182->P145->P111->V173->V153->P22->P74->P63
