# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1299.0000 M41 10000 1 69.0000 P65 V170 298 N P65->V170
2120.0000 M18 10000 28 1580.0000 P144 V174 273 N P144->P49->V186->V156->P87->P98->P107->V159->P97->V160->V184->P74->V166->P116->V189->V158->V165->V151->P68->P80->V192->P125->P109->P10->V180->V164->V163->V170->V174
2291.0000 M35 10000 25 1241.0000 V193 V173 279 N V193->P84->P124->P145->V154->V198->V151->V190->V164->V153->V171->P143->V181->V174->P148->V150->P96->V194->P94->P47->P82->P43->V187->V157->V177->V173
2341.0000 M78 10000 1 1.0000 V184 V198 299 N V184->V198
2388.0000 M70 10000 5 288.0000 P39 V179 295 N P39->V175->P60->P70->P94->V179
2735.0000 M48 10000 24 1295.0000 P108 P143 278 N P108->V195->V163->P14->P42->V192->P62->P39->V167->V179->V161->P96->V158->V178->V186->V173->V160->P119->P16->P7->V174->V180->V185->P23->P143
3073.0000 M100 10000 3 73.0000 V178 V156 298 N V178->V159->V182->V156
3433.0000 M95 10000 15 583.0000 P143 V167 290 N P143->V172->P108->P31->V178->P124->P129->V170->V175->P42->V163->V177->V166->P75->V184->V167
3458.0000 M34 10000 46 2438.0000 P37 P16 259 N P37->P114->V153->V154->P59->V193->V151->P145->V190->P84->P143->V171->V181->P148->V174->V164->P76->P139->P96->V184->V178->V167->P108->P105->P5->V159->V158->P132->P99->V176->P86->V156->V183->V155->V172->P23->V177->V180->P31->V182->V161->V173->V170->V198->V168->P52->P16
3522.0000 M7 10000 50 3312.0000 P130 P120 244 N P130->V173->V179->V158->V191->P105->V181->V154->V168->V175->P75->P1->V155->V186->V180->V167->P98->V171->P71->V177->P134->V160->V150->P61->P38->V176->V187->V188->V151->V165->V156->V189->P53->P116->P85->P26->V183->V164->P80->P66->V174->V169->P107->V170->V152->P6->P10->P69->P13->V157->P120
3543.0000 M93 10000 15 753.0000 P50 P100 287 N P50->V186->V189->V152->P10->V181->V155->P69->P30->P88->V183->P1->P43->P98->V156->P100
3548.0000 M87 10000 22 938.0000 P59 V167 284 N P59->P36->V197->V164->V160->V198->V189->V187->V194->V190->P82->V161->V186->P89->P149->V172->P61->V171->P130->V184->P96->P77->V167
3574.0000 M38 10000 50 2434.0000 P21 V189 259 N P21->P118->V175->P129->V161->V187->V194->V179->V183->P90->P42->P106->P136->P82->P131->P114->P147->P56->P103->P28->P6->P71->P73->P13->P70->P19->P34->V165->V196->P22->P48->V182->P52->V181->V159->P47->P60->P100->P61->P117->P119->P57->P144->P79->P94->P38->P133->V185->V164->P2->V189
