# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
665.0000 M19 10000 3 95.0000 V167 V160 298 N V167->P141->V186->V160
688.0000 M11 10000 5 358.0000 P91 V161 294 N P91->V196->V169->P84->P125->V161
1305.0000 M22 10000 9 645.0000 P79 V155 289 N P79->P67->P46->P68->P75->V179->V188->V159->V180->V155
1630.0000 M3 10000 12 1540.0000 V191 P13 274 N V191->P11->P54->P16->P95->P32->P18->P85->P135->P25->P100->P93->P13
2456.0000 M48 10000 15 1016.0000 P114 V197 283 N P114->V181->V172->V180->V178->P109->V163->V157->V196->V188->V155->P74->V171->V191->V189->V197
2591.0000 M30 10000 20 1691.0000 V197 P109 271 N V197->P80->V190->V173->V174->V156->P34->V161->V172->P146->V181->V167->V186->V180->P39->P95->P78->P100->P121->P87->P109
2746.0000 M90 10000 2 46.0000 P110 P99 299 N P110->P64->P99
3643.0000 M116 10000 2 163.0000 P144 V190 297 N P144->V171->V190
4228.0000 M118 10000 10 688.0000 V188 P82 288 N V188->P80->V192->V159->P38->V197->P50->V154->P48->V160->P82
4406.0000 M24 10000 34 3686.0000 P19 V182 238 N P19->V159->P43->V181->P110->P36->V168->V174->V166->V186->P115->V163->V170->V158->V192->V187->P147->P96->V175->V194->V156->V176->V172->P148->V183->P71->P61->V152->V179->P108->V165->V157->V161->P100->V182
4576.0000 M46 10000 34 3196.0000 P78 V176 246 N P78->P32->P75->P91->P23->V177->V183->V193->P106->P11->P40->P85->V150->V192->V188->V157->V155->P47->P2->V162->V160->V175->V181->P68->P137->V191->P0->P26->V166->P3->V194->P96->P4->V165->V176
4969.0000 M149 10000 6 499.0000 P23 P72 291 N P23->V158->P34->V167->V152->P101->P72
4975.0000 M91 10000 35 2245.0000 V190 P103 262 N V190->P100->V157->P13->V187->V172->V185->V158->V155->P22->P63->P109->P41->V176->V171->V167->P57->P23->V188->V156->P86->P124->P7->P80->P129->V152->P59->P14->V164->V191->V189->V174->P15->P144->P134->P103
5194.0000 M151 10000 5 664.0000 P52 V158 288 N P52->P60->V165->P2->P126->V158
5251.0000 M155 10000 13 601.0000 P58 P65 289 N P58->P76->V169->P81->V182->P77->V170->P95->P64->V161->P139->P8->P72->P65
5445.0000 M49 10000 36 3975.0000 V197 V151 233 N V197->V190->P141->V150->V174->V182->P71->V163->P87->P144->P121->P69->V167->P100->P135->V160->V184->V195->V192->P30->V185->V158->V180->V194->P78->V157->V152->V179->V171->P22->P148->V156->V168->V172->P5->V153->V151
5484.0000 M136 10000 13 1404.0000 P4 V195 276 N P4->P26->P69->P0->V184->V192->V196->V187->P70->V179->V178->V164->P120->V195
6209.0000 M124 10000 41 2489.0000 P18 V190 258 N P18->P59->P69->P113->P143->P136->P134->P105->P31->P77->P10->P58->P13->P39->V174->V181->V197->V182->P51->P36->V155->P127->P89->V160->P93->P97->P108->V150->P122->P67->P7->V161->V154->P43->V189->V184->V191->V192->P90->V178->P123->V190
6428.0000 M150 10000 35 1928.0000 P108 P14 267 N P108->P54->P53->P20->P67->V188->V174->V159->V190->V154->P122->V163->V187->V196->V153->P35->P29->P12->V192->V177->V157->V160->V183->V194->V170->V165->V191->P144->V180->V181->P105->V185->P117->P79->V167->P14
7145.0000 M38 10000 63 6005.0000 V178 V188 199 N V178->V168->P137->V176->V175->V189->V163->V158->V197->V152->V164->V184->P71->V166->V195->P72->P120->V190->P146->V156->P139->V157->P83->V177->P44->V161->P100->V192->P81->V155->P43->P134->P67->P147->V159->V172->V160->P18->V150->P77->P31->P118->P9->V174->V181->P97->V194->P36->P51->P127->P7->P108->P14->P78->P144->V179->V196->P86->P109->V182->V162->P47->P136->V188
7240.0000 M211 10000 15 910.0000 V178 P9 284 N V178->P110->V190->P61->V191->P145->V183->V187->P30->P96->V169->P119->P32->P82->V184->P9
