# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
430.0000 M3 10000 13 340.0000 V191 P13 294 N V191->V160->V194->V155->V150->V179->P3->P148->V189->V170->P53->V180->V162->P13
818.0000 M10 10000 21 518.0000 P89 P139 291 N P89->V178->V173->V154->V163->V186->V172->V175->P102->V170->P123->P112->V184->V177->P121->P76->P17->V194->P8->V174->V180->P139
1463.0000 M42 10000 4 203.0000 P27 V189 296 N P27->V193->V183->P1->V189
1661.0000 M54 10000 1 41.0000 P149 V156 299 N P149->V156
2372.0000 M60 10000 4 572.0000 P99 P7 290 N P99->P40->V186->V182->P7
2648.0000 M41 10000 15 1418.0000 P68 P45 276 N P68->V186->P85->V189->V183->P15->P1->V188->V167->P138->V197->V158->P38->V172->P140->P45
2711.0000 M44 10000 13 1391.0000 P111 V164 276 N P111->P13->V150->V187->P40->V159->P55->P136->V157->V175->V184->V172->V178->V164
3112.0000 M63 10000 17 1222.0000 V179 P54 279 N V179->P82->V162->V197->V173->V167->V182->P88->V165->P4->V161->V190->P98->P118->P29->P126->V186->P54
3193.0000 M92 10000 14 433.0000 P139 P133 292 N P139->V166->V172->V190->P49->P47->V191->V179->P70->V196->V189->V170->P18->V169->P133
3717.0000 M33 10000 42 2727.0000 P43 V152 254 N P43->P142->P81->P24->P51->P9->P133->P91->P59->P121->P44->P127->P65->P73->P107->V182->V187->V186->P7->V151->P6->V178->V184->V172->P136->V155->V171->V164->V181->V157->P108->V161->P48->P64->V183->P12->P45->V168->V196->V192->V189->V179->V152
4295.0000 M103 10000 19 1205.0000 V181 P140 279 N V181->P88->V175->V167->P90->P11->V170->P129->P3->P91->V182->P123->P57->P45->P7->P141->P85->P78->P18->P140
4507.0000 M140 10000 8 307.0000 P14 P99 294 N P14->V156->V180->V171->V189->V197->V170->V175->P99
4612.0000 M126 10000 16 832.0000 P4 P145 286 N P4->P31->P90->P45->P7->P141->P85->P78->P18->P140->P130->P49->P143->P39->P63->P94->P145
5289.0000 M116 10000 17 1809.0000 P144 V190 269 N P144->P117->V176->P8->P127->P32->P27->P58->V160->V184->V174->V159->P134->V191->P67->V192->V162->V190
5784.0000 M124 10000 29 2064.0000 P18 V190 265 N P18->P2->P40->V182->P49->P141->P85->P63->V152->P6->P47->P4->P41->P104->P82->P52->P33->P102->P94->P96->V179->V191->V153->V189->V157->V185->P120->V192->V176->V190
6446.0000 M192 10000 5 686.0000 P138 P144 288 N P138->P106->P27->P34->P127->P144
6682.0000 M151 10000 20 2152.0000 P52 V158 264 N P52->P95->P104->P41->P124->P27->P54->P103->P116->P127->P5->V194->P72->V192->V151->V191->V193->P58->P100->V188->V158
6807.0000 M213 10000 13 417.0000 P61 V157 293 N P61->P91->V172->V197->P101->V167->P76->V189->V150->V194->P47->V171->P26->V157
6900.0000 M224 10000 3 180.0000 P145 V189 297 N P145->V158->P19->V189
7110.0000 M119 10000 40 3540.0000 P119 P17 241 N P119->V175->V172->V191->V155->V195->V164->V174->V169->V184->V180->P122->V181->P42->V176->V170->P134->P14->P115->V178->V183->V153->P67->P23->P32->V173->P46->V192->V189->V182->V163->V160->V197->P146->P65->P18->V167->P8->P63->V187->P17
7471.0000 M249 10000 1 1.0000 V159 V192 299 N V159->V192
7733.0000 M160 10000 25 2933.0000 P102 V170 251 N P102->V174->V171->V167->V184->P82->V163->P130->V183->V191->V189->V169->V190->V192->V155->P94->V175->V176->V161->P131->V157->V179->P23->P115->P138->V170
7882.0000 M208 10000 31 1642.0000 V178 V158 272 N V178->V157->V192->V189->P46->V182->V170->V160->V163->P149->V184->V179->V152->P117->V167->P63->P65->P17->V187->V194->V168->V173->P133->P10->V165->V169->P44->V191->P82->P64->V161->V158
8074.0000 M219 10000 30 1504.0000 V188 V167 274 N V188->P45->V183->P42->V159->V192->V173->P102->V193->V191->V174->P53->V185->V154->P86->P83->P88->P73->P96->P23->V171->V151->V197->P34->P114->P98->V153->P106->P115->P130->V167
8446.0000 M236 10000 7 1366.0000 P136 V156 277 N P136->P123->P1->V163->V196->V173->V176->V156
8494.0000 M241 10000 11 1264.0000 P144 P1 278 N P144->P61->P45->V191->P71->V179->P30->V151->P123->P136->P19->P1
