# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
646.0000 M12 10000 20 286.0000 P89 V164 295 N P89->P126->V167->P54->P28->P61->P111->V157->V176->P72->V163->V192->V166->P75->V197->V171->P19->V195->V152->P66->V164
894.0000 M13 10000 13 504.0000 P132 P123 291 N P132->P144->P24->P64->V156->P124->P11->P59->V182->P39->V171->P30->P14->P123
1026.0000 M3 10000 15 936.0000 V191 P13 284 N V191->V173->V186->V155->V166->V182->P79->V150->V174->V170->P30->V171->P36->P32->P11->P13
1468.0000 M6 10000 23 1288.0000 P143 P42 278 N P143->P29->V174->V161->V191->V156->V182->V157->P52->V192->P5->V164->V167->P69->V195->V159->V194->P83->P45->P89->P36->P127->P40->P42
1869.0000 M56 10000 6 189.0000 P21 P42 296 N P21->P39->P91->V172->V164->V188->P42
2147.0000 M11 10000 17 1817.0000 P91 V161 269 N P91->P94->V170->P67->V174->V181->P49->P127->P66->V193->P124->P28->P115->V167->V162->P24->V191->V161
2376.0000 M33 10000 41 1386.0000 P43 V152 276 N P43->V180->V165->P50->P0->P21->V159->V193->P19->P32->P89->P13->P127->V156->P66->V186->V197->P42->P40->P36->P12->P73->P78->P130->P3->V181->P27->P132->V189->P45->V184->P25->V176->V154->P76->V178->V195->V172->V191->V190->V163->V152
2937.0000 M76 10000 6 657.0000 P40 P53 289 N P40->P52->P62->P10->P60->P3->P53
3528.0000 M44 10000 28 2208.0000 P111 V164 263 N P111->V171->P86->V166->P8->V173->V179->V197->V185->V165->P81->V176->P30->V180->P101->V156->P133->P121->P96->P1->P29->V187->V188->P45->P39->V172->V184->V190->V164
3610.0000 M110 10000 6 310.0000 P116 V193 294 N P116->V177->P145->P33->V181->P2->V193
3941.0000 M108 10000 25 701.0000 P135 P72 288 N P135->P51->V157->P69->V169->V189->P125->P57->P56->V171->V172->P81->V150->V175->V184->P95->V187->P127->V176->P149->V156->P86->V177->V192->V178->P72
4059.0000 M124 10000 5 339.0000 P18 V190 294 N P18->V193->V165->V195->P38->V190
4215.0000 M127 10000 6 405.0000 P70 V174 293 N P70->P145->P140->P136->P55->P73->V174
4673.0000 M135 10000 10 623.0000 P124 P122 289 N P124->P133->V164->V157->P134->V190->V188->V176->V161->P33->P122
5074.0000 M48 10000 49 3634.0000 P114 V197 239 N P114->V164->P34->P105->P5->P100->P10->V163->P69->P63->P48->P99->P91->P68->P90->P98->P84->P22->V176->P12->P15->P36->P102->P129->P116->P33->P2->P103->P16->V158->P112->P62->V168->P49->V153->P59->V165->V184->P108->V151->P117->V180->P13->V162->P73->P139->V173->P115->V187->V197
5773.0000 M190 10000 5 73.0000 P85 V177 298 N P85->V176->V155->P29->P33->V177
5988.0000 M106 10000 40 2808.0000 V178 P143 253 N V178->V167->V168->P3->V152->V180->V163->P10->V165->P6->V160->V161->V186->V185->P123->V183->V154->V174->P90->P96->P52->P113->P107->P75->P12->P104->P85->P142->P47->P58->P83->P72->P64->P66->P23->P135->P70->P1->P2->P122->P143
6600.0000 M192 10000 11 840.0000 P138 P144 286 N P138->P23->P54->P135->P34->P17->P143->P74->P133->P26->V172->P144
6633.0000 M219 10000 5 63.0000 V188 V167 298 N V188->V184->P12->V168->V153->V167
6767.0000 M224 10000 2 47.0000 P145 V189 299 N P145->P116->V189
7195.0000 M234 10000 5 175.0000 P68 V151 297 N P68->P138->P83->P33->V152->V151
7333.0000 M163 10000 40 2443.0000 P33 P57 259 N P33->P147->P65->P101->V173->V176->P100->V180->V174->V170->V191->V160->V166->P140->V150->V179->P87->V175->P119->V153->V162->P139->V159->P80->P118->V196->P138->P141->V192->V189->V181->V186->P97->P127->P109->P25->P19->V154->P84->V172->P57
7355.0000 M212 10000 7 995.0000 P89 V158 283 N P89->P129->V160->P58->V150->V187->P126->V158
7411.0000 M160 10000 30 2611.0000 P102 V170 256 N P102->P26->P27->P32->P11->P128->V185->V179->V197->V152->V167->V163->P77->V165->V173->V157->P55->P141->V180->V169->P93->V192->V196->P107->P33->V171->V195->V151->V168->P116->V170
7613.0000 M245 10000 5 263.0000 V157 V153 295 N V157->V161->P131->V175->V174->V153
