# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
481.0000 M15 10000 6 31.0000 V169 P105 299 N V169->V150->P95->V168->P77->P14->P105
1600.0000 M39 10000 2 430.0000 P24 V188 292 N P24->P13->V188
2393.0000 M46 10000 15 1013.0000 P78 V176 283 N P78->P97->V152->V170->V194->V183->V160->P67->P60->V161->P11->P18->V174->V189->P76->V176
2595.0000 M86 10000 2 15.0000 P121 V191 299 N P121->V181->V191
2598.0000 M74 10000 6 378.0000 P30 V168 293 N P30->V159->V195->V179->V177->V167->V168
3100.0000 M34 10000 13 2080.0000 P121 V165 265 N P121->P33->V169->V153->V190->P64->P55->P105->P130->P106->P50->V158->P98->V165
3467.0000 M54 10000 21 1847.0000 P149 V156 269 N P149->V172->V193->P83->V171->P24->V168->V188->V159->V163->V183->P86->V175->V182->V152->P88->P75->P29->P119->P69->V158->V156
4615.0000 M119 10000 11 1045.0000 P119 P17 282 N P119->P19->P43->P23->V168->V181->V194->V183->P93->P127->V166->P17
4955.0000 M30 10000 30 4055.0000 V197 P109 232 N V197->P58->P135->V153->V169->P130->P21->P94->V154->V179->P71->V175->P121->P146->V162->P125->V171->V187->P114->P50->P81->P3->P27->V166->P86->P139->P98->P140->P0->V160->P109
5378.0000 M136 10000 22 1298.0000 P4 V195 278 N P4->V153->P31->P1->P42->V166->P73->P120->V159->V150->V160->V181->P98->V172->V154->V190->P77->V184->P25->P135->V155->V193->V195
5426.0000 M42 10000 53 4166.0000 P27 V189 230 N P27->V185->V195->P40->P63->V162->V197->P109->P51->P44->V154->P58->V151->P148->P126->V184->V191->P145->V194->V187->P93->P32->V190->P140->P106->V180->V157->V158->V174->P39->V179->P65->V181->P12->P4->V192->V168->P94->P52->V152->P100->V156->P114->V150->P50->V178->P101->V170->P135->P25->V153->P98->P87->V189
5544.0000 M123 10000 26 1854.0000 V161 P56 269 N V161->V183->V165->V155->V194->V182->V185->V184->V167->P102->P147->P75->P55->P53->V178->V162->V181->P81->V179->V191->P128->P8->V175->V156->P78->P13->P56
5550.0000 M87 10000 27 2940.0000 P47 V174 251 N P47->P31->P6->P82->P118->P143->V182->P58->P149->P41->P30->P70->P99->P94->V157->V162->V191->P3->P98->V181->V176->V172->V160->P140->V150->P109->P64->V174
