# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1300.0000 M33 10000 2 310.0000 P43 V152 294 N P43->V162->V152
1795.0000 M46 10000 15 415.0000 P78 V176 293 N P78->P63->V152->V162->P109->V156->V194->V197->V164->V150->V169->P26->V155->V178->V175->V176
2492.0000 M19 10000 22 1922.0000 V167 V160 267 N V167->V186->V196->V184->P5->P14->P109->P39->P51->P47->P95->P79->P101->P81->P40->P100->P72->P127->P57->V169->P67->P60->V160
4087.0000 M42 10000 23 2827.0000 P27 V189 252 N P27->P68->P135->P121->P118->P20->V196->P82->P145->P123->P45->V158->V179->P44->P141->V187->V171->V180->P29->P119->V172->V190->V161->V189
4629.0000 M154 10000 5 9.0000 V189 P97 299 N V189->V194->V179->V193->V196->P97
5231.0000 M75 10000 36 2981.0000 P48 P138 250 N P48->V157->P142->P52->V194->V189->V167->V150->P84->V151->P71->P90->P91->P127->V154->V162->P133->V155->V192->V163->V170->V182->P23->V191->V165->V197->P98->P123->V171->P16->V196->P22->P4->P31->V166->V159->P138
5355.0000 M177 10000 1 45.0000 P57 P88 299 N P57->P88
5680.0000 M188 10000 3 40.0000 P68 V192 299 N P68->P80->V189->V192
5785.0000 M12 10000 41 5425.0000 P89 V164 209 N P89->P50->V166->P113->P43->P140->P64->P13->P0->P49->P105->V163->P76->V197->P125->V168->V173->P38->P115->P103->P139->V177->P8->P7->V188->P122->V180->V158->P5->P128->V152->P16->V172->V165->V156->V184->V176->P35->V155->V194->P77->V164
6354.0000 M187 10000 15 744.0000 P8 P45 287 N P8->P49->P90->P92->P115->P44->P14->P9->P12->P148->P65->P99->P19->P113->P96->P45
6737.0000 M133 10000 36 2747.0000 P126 P140 254 N P126->P42->P10->P80->P85->P100->P13->P9->P127->P145->P121->P50->V169->V164->P63->V172->P149->P93->P39->V152->P66->V178->P74->P12->P148->P14->P65->P99->P19->P113->P96->P45->P131->P108->P88->P70->P140
6967.0000 M203 10000 4 877.0000 P5 V163 285 N P5->P149->P126->P116->V163
6990.0000 M34 10000 45 5970.0000 P121 V165 200 N P121->V162->P37->V152->P14->V193->P91->V177->V197->P76->P125->V168->V173->P38->P115->P103->P139->P117->V187->P135->P90->V167->V154->P133->V160->P69->P11->V170->P28->V185->P25->V192->V180->V175->P85->P132->V151->P84->P92->P97->P33->V178->V189->V194->V156->V165
7113.0000 M224 10000 3 393.0000 P145 V189 293 N P145->P49->V191->V189
7620.0000 M236 10000 2 540.0000 P136 V156 291 N P136->V176->V156
7632.0000 M229 10000 8 762.0000 P49 P44 287 N P49->V191->V189->V180->V195->V188->V194->P81->P44
8290.0000 M162 10000 37 3430.0000 P93 P12 242 N P93->P137->V164->P63->V169->V172->P3->P8->P145->V193->V185->P5->P20->V171->V192->V159->P103->P18->V189->V195->P22->P75->V168->V194->P95->V150->P21->P80->V167->V157->V196->V174->V178->P7->V175->V177->P56->P12
8298.0000 M270 10000 10 198.0000 P40 P88 296 N P40->P46->P103->P124->P134->V163->P61->V167->V152->P92->P88
8642.0000 M179 10000 55 3272.0000 P10 P48 245 N P10->V190->P144->P11->V177->P28->V167->V163->V194->P33->V186->P1->V172->V184->P76->P67->V188->P139->V170->V169->P123->V180->P135->V157->V181->V162->P107->V192->P101->V159->V161->V156->P57->P17->V187->P92->P84->P25->V160->P53->P119->P59->P9->P44->V155->V165->V197->V173->V185->P86->V174->V193->P112->V196->V182->P48
