# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
937.0000 M19 10000 6 367.0000 V167 V160 293 N V167->V181->V158->V178->V151->P68->V160
1148.0000 M33 10000 2 158.0000 P43 V152 297 N P43->P135->V152
1781.0000 M24 10000 9 1061.0000 P19 V182 282 N P19->V150->P63->P24->P84->P46->V167->V165->P119->V182
2290.0000 M68 10000 7 250.0000 P48 P102 295 N P48->V190->P80->V157->V154->V171->P14->P102
2669.0000 M75 10000 10 419.0000 P48 P138 293 N P48->V177->V157->P1->V160->V178->V162->V156->P10->P103->P138
2720.0000 M87 10000 3 110.0000 P47 V174 298 N P47->V182->V160->V174
3017.0000 M21 10000 24 2387.0000 P44 P26 260 N P44->V164->V155->P118->V195->V163->P71->V171->V190->V186->V196->V153->P75->V182->V191->P136->V193->V179->V188->V174->V160->P72->V175->V154->P26
3064.0000 M73 10000 9 874.0000 P91 V184 285 N P91->V160->P98->P9->V150->P67->V194->V159->P100->V184
3471.0000 M57 10000 27 1761.0000 P33 V184 270 N P33->P51->V163->P93->V175->V165->V182->P66->V153->V155->V197->V196->V187->V195->P136->V186->V190->V173->P129->V151->V189->P141->P13->V160->V180->P41->V159->V184
3649.0000 M49 10000 18 2179.0000 V197 V151 263 N V197->P50->P56->V185->V157->P100->V159->V150->V194->P91->V153->P38->P22->P67->P110->V180->V175->V190->V151
3740.0000 M95 10000 17 890.0000 P65 P149 285 N P65->P104->P20->V164->P133->V162->P105->P94->P128->P147->P33->V166->V178->P69->P120->P62->V184->P149
3885.0000 M100 10000 9 885.0000 P30 P110 285 N P30->P117->P70->P120->V178->P94->P28->P69->P133->P110
4241.0000 M39 10000 42 3071.0000 P24 V188 248 N P24->P12->P87->P26->V177->P129->P15->V170->P130->V176->V185->V187->V165->P83->V173->V172->P65->V162->P104->P17->V163->P106->V158->V192->V197->P70->V155->P21->P88->V178->V160->P7->P116->V156->V194->P72->P82->P47->V153->V190->V195->P117->V188
4830.0000 M135 10000 5 780.0000 P124 P122 287 N P124->V156->V184->P139->P32->P122
4994.0000 M150 10000 12 494.0000 P108 P14 291 N P108->V177->V154->P135->P146->V165->V189->V196->P26->P76->P99->P44->P14
5311.0000 M27 10000 40 4501.0000 P119 P9 224 N P119->P93->P60->V185->V194->P122->V154->V177->P85->P33->P118->V176->V164->V168->V182->P136->P24->P82->V153->V150->V181->V191->P12->V195->V160->V188->P116->V196->V167->V190->P51->P66->V156->P104->P132->P103->V178->P107->P54->V151->P9
5670.0000 M10 10000 65 5370.0000 P89 P139 210 N P89->V170->V161->V164->P146->V153->P7->P66->P61->P135->V159->P140->P53->V197->V183->V185->P54->V152->P122->V191->P85->V189->V177->V154->P118->P33->P51->V163->P93->V175->V165->V182->V155->V196->V187->V195->P136->V186->V190->V173->P129->V151->V192->V158->V162->P20->P133->P90->P101->V188->V167->P106->P43->P30->P145->P44->P68->P143->P88->P29->P74->P142->P45->P76->P97->P139
5709.0000 M139 10000 33 1539.0000 P3 V193 274 N P3->P115->P59->V159->V151->V195->P131->P43->P46->V158->P138->P26->V194->P6->V168->V196->P92->V157->V186->P91->V184->P30->V152->V177->V169->P67->V162->P108->P21->P74->P114->V166->V164->V193
