# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1785.0000 M10 10000 33 1485.0000 P33 P39 275 N P33->P7->P6->P22->P21->P20->P112->P99->P121->P82->P108->P40->P72->P75->P124->P59->P47->P107->P93->P120->P123->P24->P129->P94->P54->P25->P91->P12->P76->P57->P115->P104->P81->P39
1827.0000 M55 10000 1 177.0000 P135 P22 297 N P135->P22
3375.0000 M100 10000 7 375.0000 W178 W156 293 N W178->W192->W196->W182->W191->W181->W188->W156
3423.0000 M91 10000 9 693.0000 P101 P143 288 N P101->P116->P84->P100->P89->P24->P32->P106->P70->P143
3449.0000 M29 10000 16 2579.0000 P5 P100 257 N P5->P111->P77->P32->P126->P34->P33->P95->P109->P84->P89->P18->P96->P101->P116->P149->P100
3820.0000 M12 10000 59 3460.0000 P33 P85 242 N P33->P7->P6->P22->P21->P20->P112->P99->P121->P82->P108->P40->P72->P75->P124->P59->P47->P107->P93->P120->P123->P24->P129->P94->P54->P25->P91->P12->P76->P57->P115->P104->P81->P39->P27->P71->P50->P42->P8->P28->P30->P2->P26->P31->P61->P114->P119->P69->P46->P58->P41->P131->P105->P127->P23->P16->P63->P145->P3->P85
3952.0000 M104 10000 8 832.0000 P49 W174 286 N P49->W193->W168->W161->W180->W196->W164->W197->W174
3966.0000 M15 10000 53 3516.0000 P62 P31 241 N P62->P53->P29->P92->P131->P80->P132->P10->P68->P118->P69->W168->P36->P101->P27->P82->P70->P72->P20->P44->P129->P24->P117->P81->P120->P108->P122->P147->W177->P12->P7->W161->W183->W151->P56->P124->W194->W191->W181->W182->W196->W178->W188->W192->W156->P71->P28->P143->P61->P48->P146->P125->P104->P31
4324.0000 M118 10000 7 784.0000 P119 P127 286 N P119->P146->P143->P125->P48->P16->P118->P127
5177.0000 M36 10000 31 4097.0000 P13 P69 231 N P13->P22->P28->P99->P125->P61->P75->P40->P93->P144->P54->P16->P123->P94->W155->P113->P5->P20->P103->P8->P90->W152->P59->P112->P29->W189->W172->P117->P141->P145->P126->P69
5181.0000 M144 10000 10 861.0000 P75 P114 285 N P75->P59->P117->P92->P29->P39->P83->P25->W163->W196->P114
5316.0000 M86 10000 17 2736.0000 P89 P28 254 N P89->P84->P18->P96->P101->P116->P149->P100->P139->P102->P49->P121->P9->P38->P91->P2->P60->P28
5413.0000 M163 10000 3 523.0000 P55 P132 291 N P55->P40->P122->P132
5488.0000 M49 10000 39 4018.0000 P65 P77 233 N P65->P30->P82->P114->P24->P1->P116->P87->W172->W194->P101->P56->P74->P137->P73->P124->P52->P117->P36->P64->P97->P118->P78->P119->P115->P98->P43->P22->P88->P89->P58->P13->P104->P55->P123->P125->P149->P51->P11->P77
6040.0000 M131 10000 34 2110.0000 P68 P11 264 N P68->P41->P30->P36->P16->P48->P127->P118->P51->P81->P133->P3->P85->P78->P14->P52->P134->P54->P22->P96->P130->P131->P5->P94->P101->P93->P119->P9->P144->P107->P125->P34->P76->P91->P11
6127.0000 M204 10000 2 7.0000 P29 P1 299 N P29->P141->P1
6173.0000 M169 10000 10 1103.0000 P45 P51 281 N P45->P77->P16->P58->P109->P11->P94->P130->P5->P72->P51
6276.0000 M200 10000 7 276.0000 P69 W156 295 N P69->W154->W157->W176->W187->W185->W162->W156
6516.0000 M188 10000 11 876.0000 P72 W164 285 N P72->P122->W184->W169->W160->P77->P135->P9->W178->P73->W195->W164
6592.0000 M44 10000 60 5272.0000 P71 P102 212 N P71->P115->P41->P50->P125->P114->P144->P13->P69->W164->P58->W184->W189->W185->W162->P148->P12->P26->P105->P22->P43->P23->P135->P145->P131->P39->P30->P52->P16->P25->P6->P14->P51->P81->P118->P127->P133->P3->P85->P78->P62->P54->P31->P134->P130->P96->P5->P94->P101->P9->P119->P34->P107->P149->P19->P40->P10->P109->P21->P88->P102
6737.0000 M184 10000 2 1217.0000 P65 P69 279 N P65->P71->P69
6869.0000 M102 10000 27 3809.0000 W171 P75 236 N W171->P76->P34->W193->W192->W169->W150->W186->W172->W195->W151->W173->W170->P92->P84->W163->W189->P118->P82->P62->P29->P0->P97->P45->P74->P1->P98->P75
6931.0000 M63 10000 51 5041.0000 W194 P115 215 N W194->W182->W184->W186->P63->P82->P117->P127->P37->P147->W169->W177->P6->P3->P85->P14->P19->P41->P132->P68->P52->P134->P54->P22->P96->P130->P131->P5->P94->P101->P9->P119->P43->P149->P34->P107->P30->P138->P121->P10->P40->P21->P144->P125->P109->P88->P102->P16->P60->P86->P78->P115
6937.0000 M94 10000 59 4117.0000 P116 P135 231 N P116->P89->P100->P143->W195->W172->W179->W193->W163->W191->W154->P101->W188->W169->W164->W158->W151->W153->W186->W157->P31->P43->P77->P22->P88->P14->P96->P54->P131->P130->P13->P5->P94->P119->W192->W155->W167->W173->W198->W181->W175->W156->P58->P16->P11->P34->P91->P109->P3->P19->P52->P4->P146->P117->P10->P99->P21->P125->P122->P135
7194.0000 M201 10000 8 1164.0000 P126 P13 280 N P126->W167->W163->W191->W180->P68->P62->P97->P13
7268.0000 M181 10000 19 1838.0000 P136 W182 269 N P136->W179->P47->P67->W171->W185->P110->P44->P69->P71->W170->W175->W162->W192->W164->W186->W173->W178->W197->W182
7275.0000 M208 10000 11 1035.0000 P134 W153 282 N P134->P57->P38->P2->P42->P126->W157->W163->W154->W188->W166->W153
7363.0000 M166 10000 40 2383.0000 P78 P58 260 N P78->P99->P94->P133->P103->P134->P4->P96->P23->P31->P29->P49->P33->P6->P59->P131->P13->P83->P68->P141->P108->P117->P97->P92->P100->P118->P45->P1->P74->P0->P95->P75->P98->P76->P90->P148->P132->P52->P57->P143->P58
7484.0000 M93 10000 43 4694.0000 P50 P100 221 N P50->P16->P148->P69->P22->P90->P135->P112->P127->P12->P92->P3->P85->P23->P51->P105->P81->P63->P145->P40->P117->P99->P39->P130->P25->P54->P6->P5->P147->P7->P124->P118->P103->P94->P142->P84->P62->P46->P78->P111->P33->P0->P73->P100
7613.0000 M248 10000 1 173.0000 P136 P19 297 N P136->P19
7710.0000 M242 10000 6 450.0000 P52 P29 292 N P52->P50->P76->P114->P132->P94->P29
7747.0000 M134 10000 26 3727.0000 P91 W192 237 N P91->P9->P107->W181->W163->W170->W183->W184->W191->W177->W179->W171->P67->P110->P44->P69->P71->W164->W186->W173->W162->W178->W197->W182->W175->W156->W192
7793.0000 M14 10000 57 7373.0000 P16 P96 177 N P16->P129->P149->P39->P110->P46->P31->P22->P13->P99->P28->P75->P40->P93->P61->P54->P125->P123->P144->P47->P94->W155->P113->P5->P20->P103->P8->P90->W152->P59->P112->P29->W189->W172->P117->P141->P145->P126->P69->P0->P148->P84->P114->P134->P57->P38->P2->P42->P147->P142->P124->P25->W163->W177->W188->P63->W153->P96
7949.0000 M121 10000 24 4319.0000 P43 W151 228 N P43->P22->P80->P128->P74->P127->P146->P14->P54->P23->W170->W178->W184->W162->W192->W176->W182->P84->P56->P12->W159->W197->W154->W150->W151
8079.0000 M257 10000 4 369.0000 P4 P89 293 N P4->P137->P88->P66->P89
8276.0000 M263 10000 6 386.0000 P11 W194 293 N P11->P0->W171->W198->W190->W188->W194
8447.0000 M33 10000 52 7457.0000 P126 P128 175 N P126->P26->P49->P116->P87->P98->P56->P55->P48->P106->W189->W164->W166->W178->W158->W181->W163->W157->W176->W197->W170->W175->W156->W190->W193->W168->W160->W165->W194->W195->P45->P80->P77->P60->P76->P52->P19->P62->P110->P97->P43->P93->P35->P37->P89->P17->P79->P53->P11->P64->P38->P140->P128
8496.0000 M57 10000 65 6786.0000 P83 P36 186 N P83->P39->P50->P42->P8->P28->P30->P2->P26->P31->P61->P114->P119->P69->P46->P58->P41->P131->P105->P16->P23->P127->P63->P145->P3->P85->P51->P81->P117->P40->P148->P99->P25->P130->P54->P6->P5->P147->P7->P124->P118->P103->P94->P142->P84->P62->P92->P82->P0->P29->P75->P97->P48->P100->P1->W181->P49->P143->P132->P33->P13->P73->P122->P59->P77->P36
8755.0000 M269 10000 10 685.0000 P71 P56 288 N P71->P138->P111->P41->P14->P113->P83->P123->P7->P45->P56
8902.0000 M111 10000 56 5572.0000 P92 P75 207 N P92->P3->P85->P23->P51->P105->P81->P63->P145->P40->P117->P99->P39->P130->P25->P148->P54->P6->P5->P147->P7->P124->P118->P103->P94->P142->P84->P62->P46->P78->P111->P33->P0->P73->P100->P48->P58->P68->P77->P122->P50->P59->P49->P29->P86->P132->P8->P133->P114->P37->P13->W151->P138->P42->P34->P36->P75
9106.0000 M225 10000 20 2356.0000 P42 W175 260 N P42->P147->P142->P124->P25->P145->P134->P105->P135->P62->P129->P96->P12->P2->P122->W172->W194->W180->W168->W197->W175
9146.0000 M293 10000 12 356.0000 P133 P69 294 N P133->P86->P1->P67->P94->P23->P147->P99->P25->P102->P34->P131->P69
9323.0000 M270 10000 8 1223.0000 W179 P77 279 N W179->W167->W195->W190->P97->P124->P118->P142->P77
9391.0000 M310 10000 4 91.0000 W175 P74 298 N W175->W197->W194->W170->P74
9836.0000 M317 10000 2 326.0000 P134 P125 294 N P134->P40->P125
9940.0000 M291 10000 19 1210.0000 P101 P24 279 N P101->P84->W191->W163->W150->W161->W185->W183->W173->W155->W178->W154->W166->W195->W164->W153->W168->P26->P112->P24
10161.0000 M73 10000 61 7971.0000 P141 P16 167 N P141->P47->W171->W190->P114->P59->P83->W152->P29->P90->W189->W172->P117->P118->P46->P134->P0->P96->P75->P124->P148->P147->P126->P48->P142->P57->P31->P50->P97->P13->P74->P8->P95->W174->W181->W191->P62->P108->W188->W198->W151->W194->W180->W162->W195->W159->P63->P77->P122->P133->P76->P99->P130->P52->P54->P12->P30->P135->P23->P5->P92->P16
