# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
848.0000 M3 10000 10 758.0000 P108 P32 287 N P108->P29->P116->P141->P109->P14->P136->P77->P49->P134->P32
1291.0000 M39 10000 4 121.0000 W172 W189 297 N W172->W193->W165->W167->W189
1320.0000 M38 10000 3 180.0000 P21 W189 297 N P21->P27->W150->W189
1637.0000 M28 10000 13 797.0000 P84 W167 286 N P84->P20->P93->P18->P71->P90->P1->P58->P75->W166->W171->W176->W188->W167
2992.0000 M55 10000 23 1342.0000 P135 P22 277 N P135->P6->P7->P101->P29->P66->P141->P11->P91->P96->P78->P137->P119->P71->P70->P98->P116->P5->P100->P3->P45->P73->P85->P22
3153.0000 M62 10000 4 1293.0000 P14 W181 278 N P14->P38->P35->P33->W181
4104.0000 M78 10000 26 1764.0000 W184 W198 270 N W184->P98->P65->P113->W176->W160->W187->W154->W197->W159->W163->W152->W193->W180->W155->W194->W153->W177->W178->W162->W167->W183->W156->W185->W165->W151->W198
4249.0000 M103 10000 15 1159.0000 W174 P16 280 N W174->P40->P47->P9->P112->P13->P65->P46->P149->P139->P22->P115->W175->P97->P89->P16
4271.0000 M120 10000 14 671.0000 P87 P4 288 N P87->P42->P141->P66->P34->P51->P60->P19->P63->P149->P127->P129->P61->P70->P4
4460.0000 M112 10000 16 1100.0000 P75 W190 281 N P75->P15->P8->P53->P21->P118->P140->P25->P93->P54->P126->P64->P133->P136->P111->P122->W190
4602.0000 M121 10000 16 972.0000 P43 W151 283 N P43->P98->W153->W156->W188->W180->W159->W157->W164->W158->W166->W150->W179->W197->W171->W178->W151
4796.0000 M115 10000 27 1346.0000 W195 P15 277 N W195->W179->W170->W164->P101->P34->P141->P73->P60->P51->P76->P61->P19->P57->P2->P149->W189->W194->W162->W154->W193->P8->P23->P146->P75->P49->P58->P15
4835.0000 M82 10000 5 2375.0000 W151 P51 260 N W151->W175->W170->W181->W173->P51
4858.0000 M63 10000 24 2968.0000 W194 P115 250 N W194->W177->W176->W189->W162->P78->P7->P129->P118->P70->P49->P3->P41->P89->P45->P71->P24->P80->P6->P139->P83->P97->P112->P60->P115
4925.0000 M125 10000 9 1175.0000 P90 P124 280 N P90->P64->P118->P111->P93->W190->W191->W182->W181->P124
5419.0000 M135 10000 19 1369.0000 P92 P63 277 N P92->P144->P72->P67->P43->P39->P109->W170->W192->W158->W165->W153->W174->P85->P55->P14->P26->P61->P10->P63
5517.0000 M99 10000 29 2547.0000 P39 P98 257 N P39->W190->W167->W169->W156->W182->W197->W192->W187->P120->W164->W179->W173->P45->P88->P55->P80->P6->P24->P139->P83->P97->P112->P60->P115->P2->P114->P4->P113->P98
5930.0000 M111 10000 26 2600.0000 P92 P75 256 N P92->P144->P72->P67->P43->P39->P109->W170->W192->W158->W165->W153->W174->P85->P55->P14->P26->P61->P10->P63->P22->P83->P33->P115->P113->P64->P75
5965.0000 M137 10000 26 1855.0000 P120 P13 269 N P120->P91->P123->P92->P22->P72->P43->P70->P109->P14->P10->P69->P33->P55->P100->P39->P29->P140->P135->P59->P3->P81->W179->W164->W176->W191->P13
6062.0000 M189 10000 10 392.0000 P96 P66 293 N P96->P116->P133->P60->P58->P85->P39->P93->P142->P68->P66
6369.0000 M21 10000 72 5739.0000 P73 P58 204 N P73->P3->P126->P135->P11->P28->P88->P25->P38->P125->P64->P85->P129->P102->P86->P7->P80->P138->P14->P41->P15->P143->P147->P29->P53->P141->P27->P77->W159->W188->P62->P33->P67->P100->P140->P66->P118->P148->P122->P106->P93->P34->P60->P20->P114->P94->P127->P4->P39->P92->P120->P72->P22->P123->P43->P70->P109->P10->P69->P36->P55->P37->P61->P132->P63->P110->P91->P101->P81->P13->P84->P45->P58
6386.0000 M181 10000 18 956.0000 P136 W182 284 N P136->P115->P22->P2->P33->P113->P26->P131->P72->W157->W159->W188->W184->W168->W198->W156->W178->W164->W182
6498.0000 M165 10000 12 1548.0000 P82 P41 274 N P82->P147->P65->P95->P122->W150->W181->P128->P89->P55->P134->P61->P41
6514.0000 M47 10000 53 5104.0000 W177 P103 214 N W177->W165->P130->W178->P123->W169->W187->W172->W155->W151->W196->W176->W189->W160->W188->W194->W156->W182->W167->W197->W192->W190->P33->P120->P121->W164->W179->W173->P45->P88->P55->P80->P6->P24->P139->P83->P97->P112->P60->P115->P2->P114->P4->P113->P98->P131->P136->P127->P22->P23->P16->P57->P53->P103
6683.0000 M188 10000 24 1043.0000 P72 W164 282 N P72->P54->P83->P26->P97->P64->P113->P51->P75->P115->P111->P2->P101->W179->W195->W173->W176->W162->W153->W193->W196->P94->P121->P92->W164
6802.0000 M190 10000 16 1102.0000 W177 P135 281 N W177->W168->W173->W176->W156->W164->P28->P53->P1->W182->W195->W162->P16->P23->P104->P25->P135
6825.0000 M139 10000 36 2655.0000 P54 P139 255 N P54->P126->P140->P133->P122->P64->P148->P136->P130->P111->P134->P124->P19->P12->P141->P93->P149->P68->P44->P71->P82->P6->P143->P119->P116->P60->P147->P39->P65->P96->P67->P85->P142->P118->P113->P144->P139
6837.0000 M59 10000 58 5067.0000 W151 P25 215 N W151->W162->W169->W187->W155->W176->W196->W189->W160->W188->W194->W172->W165->W195->W153->P91->P76->W167->W181->P33->P89->W190->P133->P121->P39->W192->W197->W182->W173->W164->W179->P45->P88->P55->P80->P6->P24->P139->P83->P97->P112->P60->P115->P2->P114->P4->P113->P98->P131->P136->P127->P22->P23->P16->P57->P53->P103->P86->P25
6877.0000 M229 10000 3 7.0000 W175 P137 299 N W175->W185->P104->P137
7440.0000 M225 10000 17 690.0000 P42 W175 288 N P42->W155->W194->W167->W166->W159->W193->W160->W150->W187->W171->W178->W170->W191->W182->W180->W165->W175
7606.0000 M253 10000 2 16.0000 P118 P16 299 N P118->P135->P16
7683.0000 M60 10000 50 5883.0000 P62 P1 201 N P62->P117->P114->P33->P130->P134->P87->W152->P79->P93->W168->W188->W167->P38->P59->P58->P55->P107->P116->P127->P142->P42->P61->P63->P57->P97->P94->P75->P78->P46->P73->P8->P23->P92->P14->P47->P10->P43->P51->P54->P9->P68->P53->P101->P146->P125->P30->P65->P137->P26->P1
7700.0000 M208 10000 11 1460.0000 P134 W153 275 N P134->P55->P41->P100->W194->W152->W186->W181->W193->W188->W154->W153
7724.0000 M153 10000 39 3134.0000 P24 P143 247 N P24->P80->P4->P2->P6->P114->P112->P23->P61->P92->W152->W153->W167->W187->P136->P115->P22->P113->P33->W160->W154->W157->P131->P26->P127->P72->P64->P98->P140->P133->P82->P14->P31->P43->P9->P129->P1->P137->P73->P143
7726.0000 M163 10000 37 2836.0000 P55 P132 252 N P55->P75->P116->P78->P61->P112->P23->P142->P13->P60->P63->P136->P92->P97->P14->P46->P79->P10->P47->P43->P51->P54->P9->P68->P53->P101->P93->P146->P125->P73->P30->P65->P137->P26->P1->P129->P64->P132
7872.0000 M18 10000 25 7332.0000 P144 W174 177 N P144->P136->P42->P132->P0->P26->P146->P110->P2->W179->P111->P68->P12->P82->W188->W172->P118->W162->P65->P130->P39->P18->P44->W163->P149->W174
8124.0000 M251 10000 10 594.0000 P26 P143 290 N P26->P80->P64->P4->P132->P1->P129->P12->P17->P112->P143
