# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
607.0000 M10 10000 3 307.0000 P33 P39 294 N P33->P49->P3->P39
849.0000 M22 10000 2 189.0000 P124 P62 296 N P124->P52->P62
1287.0000 M25 10000 3 537.0000 P3 W162 291 N P3->P7->P73->W162
1505.0000 M7 10000 27 1295.0000 P130 P120 278 N P130->P40->P67->P7->P28->P18->P113->P97->P63->P6->P74->P54->P33->P108->P19->P80->P57->P22->P9->P81->P36->P111->P92->W153->W169->W186->P140->P120
1928.0000 M3 10000 9 1838.0000 P108 P32 269 N P108->P118->P51->P148->P5->P145->P106->P132->P119->P32
2133.0000 M18 10000 28 1593.0000 P144 W174 273 N P144->P131->P120->P59->P128->P124->P72->P104->P142->P116->P64->P101->P62->W152->W189->W161->W164->W169->W182->W187->W177->W150->W198->W154->W175->W151->W196->W173->W174
2165.0000 M63 10000 5 275.0000 W194 P115 295 N W194->W155->W152->W153->P8->P115
3108.0000 M47 10000 23 1698.0000 W177 P103 271 N W177->W150->W182->W169->W187->W184->W198->W164->W171->W175->W154->W178->W185->W193->P133->P73->P94->P16->P67->P7->P1->P148->P51->P103
3144.0000 M70 10000 17 1044.0000 P39 W179 282 N P39->P93->P17->P45->P30->P146->P54->P55->P97->P80->P143->P66->P4->P108->P52->W157->W180->W179
3146.0000 M91 10000 3 416.0000 P101 P143 293 N P101->P111->P54->P143
3188.0000 M73 10000 9 998.0000 P141 P16 283 N P141->P96->P107->P62->P38->P145->W185->P75->P23->P16
3543.0000 M97 10000 16 633.0000 W188 W185 289 N W188->W182->P15->W168->W179->P42->P129->P131->W169->W191->P53->W177->W161->P93->P43->W189->W185
3879.0000 M67 10000 15 1869.0000 W179 P115 268 N W179->W170->W163->W162->W184->P119->P136->P85->P79->P111->P35->P101->P116->P72->P143->P115
4797.0000 M116 10000 7 1317.0000 P98 P15 278 N P98->P9->P5->P110->P60->P24->P27->P15
4967.0000 M15 10000 36 4517.0000 P62 P31 224 N P62->P73->P35->P118->P136->P25->P83->P132->P145->P117->P66->P142->P123->P137->P143->P12->P97->P33->P121->P54->P147->P89->P129->P0->P79->P125->P120->P29->P65->P11->P108->P116->P14->P76->P149->P39->P31
4997.0000 M114 10000 27 1577.0000 P39 P62 273 N P39->P128->P67->P83->P24->P13->P80->P20->W189->W198->W168->W166->P91->P89->W174->W175->W197->P135->P56->P94->W158->P61->P31->W191->W186->W181->P7->P62
5040.0000 M158 10000 5 300.0000 P32 P1 295 N P32->P114->P33->P44->P17->P1
5044.0000 M72 10000 30 2884.0000 P97 W158 251 N P97->P99->P54->P74->P53->P39->P126->P108->P2->P22->P139->P40->P144->P61->P60->P92->P52->P138->P141->P81->P70->P110->P90->P24->P118->P15->P102->P124->P132->P45->W158
5411.0000 M119 10000 13 1841.0000 P106 W177 269 N P106->W161->W150->W169->W164->W157->W165->W151->W185->W190->W195->W158->W183->W177
5790.0000 M95 10000 26 2940.0000 P143 W167 251 N P143->P12->P117->P33->P97->P120->P89->P147->P69->P50->P67->P63->P56->P141->P79->P35->P65->P47->P88->P26->P51->P82->P85->P122->P30->W187->W167
5936.0000 M182 10000 12 476.0000 P86 P137 292 N P86->P127->P92->P46->W166->W198->W188->W155->P90->P15->P104->P41->P137
