# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1508.0000 M4 10000 27 1388.0000 P130 W197 276 N P130->P21->P139->P42->P110->P93->P58->P92->P103->P55->P79->P69->P149->P39->P8->P131->P114->P123->P15->P61->P28->P2->P54->W164->W192->W165->W175->W197
1622.0000 M47 10000 4 212.0000 W177 P103 296 N W177->W184->W182->P104->P103
2514.0000 M7 10000 45 2304.0000 P130 P120 261 N P130->P21->P139->P42->P110->P93->P58->P92->P103->P55->P79->P69->P149->P39->P8->P131->P114->P123->P15->P61->P28->P2->P54->W164->W192->W165->W175->W197->W193->P41->P122->P56->W180->W153->P70->P74->P143->P66->P104->P46->P85->P49->P138->P89->P16->P120
2620.0000 M77 10000 7 310.0000 P27 W195 294 N P27->P2->P29->P143->P48->P4->W179->W195
2856.0000 M87 10000 7 246.0000 P59 W167 295 N P59->W157->W156->P88->P100->P80->P61->W167
3079.0000 M97 10000 7 169.0000 W188 W185 297 N W188->W181->W170->W163->W154->W179->W156->W185
3121.0000 M36 10000 34 2041.0000 P13 P69 265 N P13->P28->P49->P96->P4->P67->P138->P94->P111->P122->P80->P77->P99->P87->P114->P112->P51->P135->P45->P55->P42->P26->P85->P17->P44->P19->P102->P127->P130->P10->P92->P139->P6->P65->P69
3124.0000 M79 10000 7 754.0000 W165 P83 287 N W165->W153->W198->P58->W170->W168->P137->P83
3173.0000 M94 10000 3 353.0000 P116 P135 294 N P116->P22->P124->P135
3613.0000 M106 10000 3 433.0000 P73 W153 292 N P73->P52->P16->W153
3807.0000 M41 10000 41 2577.0000 P65 W170 257 N P65->P140->P118->P66->P132->P43->P22->P117->P61->P16->P76->P143->P2->P29->P48->P4->W179->W195->P88->W156->W157->P80->P100->W167->W171->P47->W162->W159->W164->W153->W186->P115->W154->P70->W189->P127->P138->W177->P19->W168->W150->W170
4291.0000 M101 10000 19 1261.0000 W165 W151 278 N W165->W189->W174->W196->W171->W177->W150->W193->W169->W194->W180->W154->W160->W168->W190->W170->P127->P10->P58->W151
4478.0000 M119 10000 10 908.0000 P106 W177 284 N P106->P125->P41->P63->P43->W163->W157->W169->W174->W170->W177
5217.0000 M159 10000 9 447.0000 P117 P61 292 N P117->P69->P11->P124->P34->P51->P43->P119->P19->P61
5657.0000 M40 10000 35 4457.0000 P70 P149 225 N P70->P109->P98->P78->P148->P73->P25->P118->P107->P123->P145->P104->P3->P9->P91->P97->W178->P34->P89->P10->P133->P120->P35->P58->P115->P19->P141->P24->P46->P142->P94->P140->P112->P134->P127->P149
5803.0000 M189 10000 7 133.0000 P96 P66 297 N P96->P56->W169->P138->P147->W184->W183->P66
5873.0000 M195 10000 1 23.0000 P34 W173 299 N P34->W173
5930.0000 M60 10000 32 4130.0000 P62 P1 231 N P62->W192->W181->W156->P84->P37->P140->P126->P54->P39->P60->P41->P14->P53->P108->P43->P134->P117->P137->P109->P118->P93->P22->P5->P57->P90->P133->P139->P116->P113->P91->P104->P1
6216.0000 M117 10000 29 2706.0000 P55 W163 254 N P55->P84->P26->P23->P76->P4->P32->P49->P131->P29->P50->P2->P57->P44->P98->P59->P21->P114->P118->P30->P31->P40->P0->P137->P129->P39->W175->W158->W168->W163
6266.0000 M112 10000 32 2906.0000 P75 W190 251 N P75->P11->P115->P91->P39->W159->P127->P60->P37->W178->W195->W185->W169->P3->W166->W177->W198->W191->W182->W168->W170->W154->W165->W184->P66->W162->P16->P18->P94->W156->W152->W196->W190
6320.0000 M188 10000 16 680.0000 P72 W164 288 N P72->P67->P98->P120->P58->P45->P119->P127->P12->P149->P5->P79->P148->P112->P108->W193->W164
6344.0000 M70 10000 59 4244.0000 P39 W179 229 N P39->P97->P43->P34->P64->P53->P120->W166->P117->P128->P109->P70->P73->P62->P118->P126->P52->P14->P78->P46->P22->P54->P139->P20->P113->P142->P96->P47->P141->P89->P94->P108->P0->P72->P92->P19->P18->P35->P69->P121->P66->P124->P8->P55->P119->P24->P61->P99->P45->P51->P75->P12->W182->P58->P79->P148->P5->P127->W193->W179
6504.0000 M26 10000 40 5724.0000 W178 W168 204 N W178->W165->W153->W172->W197->W159->W188->P34->P104->W182->W167->W152->P60->P105->P106->P72->P66->P133->P43->P63->P129->P123->W192->W160->W161->W193->W176->W156->W158->W185->W189->W190->W174->W184->W151->W171->W183->W198->W169->W175->W168
6512.0000 M166 10000 33 1532.0000 P78 P58 274 N P78->W171->W156->W176->W187->W155->W161->W162->W188->W158->W173->W153->P128->P79->P95->P87->P24->P148->P81->P97->P103->P14->P50->P55->P99->P92->P130->P34->P121->P69->P117->P124->P27->P58
6939.0000 M226 10000 3 159.0000 P9 P19 297 N P9->W160->W166->P19
6996.0000 M96 10000 47 4116.0000 P67 P55 231 N P67->P18->P110->P130->P102->P51->P97->P119->P65->P12->P6->P61->P33->P7->P45->P25->P103->P47->P117->P79->P11->P95->P34->P146->W194->W173->W161->W150->W195->W186->W177->P128->P27->P35->P81->P87->P42->P92->P77->P50->W158->W179->W157->W183->W165->W181->W154->P55
7085.0000 M178 10000 13 1745.0000 P104 P64 270 N P104->P1->P133->P100->P53->P46->P28->P6->P84->W161->W181->W165->W191->P64
7294.0000 M225 10000 12 544.0000 P42 W175 290 N P42->P16->P77->P149->P50->P58->P47->P112->P136->P10->P86->W192->W175
7639.0000 M215 10000 24 1189.0000 W190 P145 280 N W190->P73->W150->P134->W152->P138->P22->W163->W188->W196->W153->W185->W187->W172->W165->W156->W198->W193->W158->W197->W184->P17->P118->P49->P145
7818.0000 M228 10000 14 978.0000 P25 P123 283 N P25->W160->W177->W154->W181->P86->P55->P106->P62->P14->P10->P7->P94->P104->P123
7909.0000 M5 10000 90 7759.0000 P79 P75 170 N P79->P69->P139->P39->P110->P131->P55->P61->P149->P23->P8->P40->P114->P11->P113->P56->P52->P28->P49->P96->P4->P67->P138->P94->P111->P122->P80->P77->P99->P87->P135->P112->P51->P26->P45->P17->P42->P44->P19->P85->P127->P102->P10->P130->P92->W170->W181->W175->W197->W162->W156->W151->W167->P141->P65->P6->P0->P97->P18->P88->P12->P7->P33->P25->P103->P47->P117->P95->P34->W173->W194->W161->W150->W186->W195->W177->P128->P27->P35->P81->P146->P86->P58->P62->P106->P68->P104->P13->P123->P82->P75
