# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
477.0000 M14 10000 1 57.0000 P141 P134 299 N P141->P134
557.0000 M18 10000 2 17.0000 W161 W166 299 N W161->W197->W166
1495.0000 M21 10000 10 865.0000 P44 P26 285 N P44->P123->P22->P93->P65->P111->W150->W185->W152->W178->P26
1651.0000 M33 10000 13 661.0000 P43 W152 288 N P43->P42->P16->P5->W150->P110->P60->P78->P124->P47->P139->P130->P57->W152
2474.0000 M81 10000 3 44.0000 P77 P120 299 N P77->P9->P23->P120
2808.0000 M53 10000 11 1218.0000 W167 W152 279 N W167->W173->W156->W188->W159->W184->W193->W178->W180->W186->W196->W152
3238.0000 M31 10000 11 2308.0000 P96 P73 261 N P96->P47->P119->P101->P53->P142->P12->P44->P19->P148->P56->P73
4430.0000 M73 10000 25 2240.0000 P91 W184 262 N P91->P137->P69->P3->P59->P51->P44->P56->P1->P60->W153->W162->P53->W174->P63->P140->P4->P117->P109->W160->W193->P15->P29->P57->P136->W184
4518.0000 M118 10000 9 978.0000 W188 P82 283 N W188->W195->W172->P85->P149->P23->P92->P111->P64->P82
5158.0000 M124 10000 18 1438.0000 P18 W190 276 N P18->P113->P101->P110->W167->W174->W188->W193->W172->W153->W156->W154->W175->W173->W191->W165->W178->W155->W190
5422.0000 M128 10000 23 1582.0000 W160 P16 273 N W160->W164->W157->W163->W165->W159->P28->W184->W168->W192->W151->P111->P3->P83->P82->P15->P122->P39->P21->P75->P102->P17->P105->P16
5678.0000 M90 10000 46 2978.0000 P110 P99 250 N P110->P117->P107->P40->P32->W177->W176->W172->P63->W162->W153->W174->P53->P60->W161->P21->P69->P68->P70->P65->W163->W165->W185->W192->W197->W150->W158->W190->P84->P49->P135->P97->P29->P57->P24->P123->P71->P93->P136->P9->P139->P61->P55->P23->P103->P141->P99
6354.0000 M197 10000 1 444.0000 P24 P80 292 N P24->P80
6494.0000 M176 10000 13 1214.0000 P34 P7 279 N P34->P23->P55->P141->P103->P149->P27->P94->P99->P91->P44->P21->P47->P7
6902.0000 M229 10000 1 32.0000 P49 P44 299 N P49->P44
7633.0000 M183 10000 11 2143.0000 P137 P77 264 N P137->W176->W190->W164->W185->W158->W191->W168->W167->W171->P101->P77
8284.0000 M239 10000 7 1114.0000 P62 P19 281 N P62->P52->P12->P137->P107->P18->P103->P19
8343.0000 M215 10000 17 1893.0000 W167 P19 268 N W167->W168->W152->W154->W197->W160->W150->W161->W163->W171->W193->P16->P53->P107->P12->P17->P58->P19
8738.0000 M236 10000 12 1658.0000 P136 W156 272 N P136->P120->P145->W191->W185->W155->P53->W161->W152->W158->W154->W162->W156
8773.0000 M87 10000 34 6163.0000 P47 W174 197 N P47->P139->P25->P124->P137->P33->P136->P85->P143->P45->P40->P62->P144->P120->P5->P95->P41->W196->P16->P92->W162->P67->P109->P74->P126->P104->P68->P38->P58->P32->P56->W186->W161->W182->W174
8840.0000 M282 10000 7 380.0000 W166 P116 293 N W166->W155->W177->P104->P13->P138->P83->P116
