# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
908.0000 M22 10000 6 248.0000 P79 W155 295 N P79->W150->W163->W188->W193->W165->W155
2140.0000 M61 10000 12 310.0000 P13 P137 294 N P13->P21->P82->P148->P144->P147->P16->P136->P134->P38->P86->P143->P137
2231.0000 M7 10000 13 2021.0000 P9 P25 266 N P9->W163->P87->P127->P28->P50->P136->P126->W165->W154->P23->P123->P49->P25
2701.0000 M80 10000 2 301.0000 P64 W179 294 N P64->P110->W179
3059.0000 M19 10000 30 2489.0000 W167 W160 258 N W167->W185->W153->W150->W163->W192->W158->W178->W196->P117->P128->P124->P54->P63->P130->P114->P144->P44->P22->P66->P74->P34->P80->P29->P13->P139->P73->P37->P41->P10->W160
3145.0000 M45 10000 6 1795.0000 P32 P144 270 N P32->P97->P65->P31->P77->P7->P144
3562.0000 M98 10000 9 622.0000 P53 P121 289 N P53->P50->P120->P130->P93->P29->P1->P101->P32->P121
3758.0000 M72 10000 11 1598.0000 P139 P51 273 N P139->P145->P37->P73->P41->P13->P116->P90->P70->P10->P147->P51
3927.0000 M35 10000 27 2877.0000 W160 P110 252 N W160->W188->W170->P75->P116->P53->P50->P120->P130->P93->P29->P1->P101->P32->P121->P141->P104->P21->P139->P118->P71->P119->P35->P74->P3->P91->P112->P110
4078.0000 M74 10000 16 1858.0000 P30 W168 269 N P30->P62->P9->P68->P25->P43->P105->P8->P27->P66->W171->W152->W174->P55->W182->W197->W168
4352.0000 M124 10000 12 632.0000 P18 W190 289 N P18->P1->P92->P93->P135->P107->P3->P136->P68->P88->P10->P142->W190
4627.0000 M118 10000 22 1087.0000 W188 P82 281 N W188->P99->P114->W173->W162->W192->P98->P86->P54->P108->P14->P16->W174->W190->W176->W153->W179->W183->W152->W161->W171->P137->P82
4936.0000 M139 10000 12 766.0000 P3 W193 287 N P3->P136->P68->P88->P10->P142->W190->P9->P109->P112->W156->W182->W193
5056.0000 M78 10000 21 2716.0000 P122 P123 254 N P122->P35->P32->P144->P38->W194->W158->W161->W155->W179->P138->P31->P64->P148->P47->P44->P115->P71->P7->W162->W195->P123
5132.0000 M17 10000 35 4622.0000 P97 P135 222 N P97->P95->P1->P106->P16->P17->P134->P32->P93->P56->P20->P88->P144->P38->P21->P35->P148->P79->P39->P57->P12->P31->P113->P124->P111->P44->P143->P29->P7->P101->P103->P138->P121->P128->P71->P135
5257.0000 M121 10000 24 1627.0000 P58 P54 272 N P58->W186->W193->W178->P37->W191->W158->P70->P149->P116->P6->P67->P50->P18->W159->W153->P88->P90->W156->P63->W155->W179->W166->P111->P54
5307.0000 M142 10000 6 1047.0000 P98 P99 282 N P98->P96->P14->P16->P59->P127->P99
5480.0000 M83 10000 23 2990.0000 W174 P144 250 N W174->P36->W194->W190->W155->W161->W158->W179->P138->P31->P64->P148->P47->P44->P115->P71->P7->W162->W195->P123->P52->P107->P32->P144
5697.0000 M146 10000 13 1317.0000 P0 P53 278 N P0->P92->P51->P54->P127->P96->P61->P66->P33->P16->P56->P59->P35->P53
6013.0000 M192 10000 9 253.0000 P138 P144 295 N P138->P137->P38->P40->P128->P30->P139->P54->P81->P144
6204.0000 M56 10000 82 4524.0000 P21 P42 224 N P21->P146->P95->P92->P126->P141->P37->P52->P16->W175->W163->W167->W184->P103->P12->P17->P149->P5->P136->P123->P124->P0->P127->P56->P44->P88->P120->P50->P53->P130->P93->P29->P1->P101->P32->P121->P104->P118->P112->P35->P13->P3->P139->P79->P71->P57->P74->P31->P91->P26->P111->P135->P113->P109->P107->P68->P143->P89->P10->P106->P4->P69->P40->P38->P70->P81->W181->W153->W174->P125->P148->P18->P64->P114->P108->P128->P30->P144->P54->P122->P142->P7->P42
6247.0000 M180 10000 10 847.0000 P113 P2 285 N P113->W155->W181->P146->P60->P65->P94->P58->P3->P59->P2
6312.0000 M197 10000 4 402.0000 P24 P80 293 N P24->P61->P56->P33->P80
7360.0000 M54 10000 29 5740.0000 P149 W156 204 N P149->P51->P11->P17->P74->P0->W183->P61->P34->P81->P117->W184->P65->P136->P21->P114->P9->P119->P118->P37->P102->P140->P50->P130->P143->P100->P12->P88->P8->W156
7731.0000 M161 10000 25 2901.0000 W154 P72 251 N W154->W174->W156->W194->W159->W186->W169->P70->P15->P125->P73->P108->P44->P89->P30->P95->P31->P109->P142->P54->P48->P57->P0->P35->P60->P72
7863.0000 M167 10000 9 2853.0000 P15 P22 252 N P15->P101->P127->P117->P75->W196->P63->P1->P123->P22
8016.0000 M266 10000 4 36.0000 P77 W187 299 N P77->P28->P70->W156->W187
8049.0000 M249 10000 5 579.0000 W159 W192 290 N W159->W156->W183->W167->W176->W192
8293.0000 M237 10000 13 1183.0000 W180 P135 280 N W180->W186->W153->W163->W151->P57->P60->P35->P96->P108->P29->P72->P46->P135
8350.0000 M241 10000 13 1120.0000 P144 P1 281 N P144->P62->W169->W152->W180->W164->P25->P11->W157->W173->W197->W168->P86->P1
8919.0000 M201 10000 30 2889.0000 P15 P42 251 N P15->P125->P73->P108->P44->P89->P30->P95->P31->P109->P142->P54->P48->P57->P0->P35->P60->P72->P96->P135->P29->P71->P39->P132->P46->P121->P53->P70->P119->P10->P42
9038.0000 M89 10000 19 6368.0000 P131 P69 193 N P131->W151->P20->P122->P10->W150->W157->W181->P111->P16->P75->P135->P119->P71->P42->P30->P97->P121->P89->P69
