# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1050.0000 M21 10000 4 420.0000 P44 P26 293 N P44->P9->P51->P83->P26
1536.0000 M5 10000 17 1386.0000 P137 P83 276 N P137->P40->P32->P33->P84->P63->W161->W167->W196->W158->W197->W187->W173->W174->W188->W192->P23->P83
1688.0000 M37 10000 7 578.0000 P45 P53 290 N P45->P16->P135->P113->P94->P15->P40->P53
2256.0000 M34 10000 5 1236.0000 P121 W165 279 N P121->P80->P131->W156->P100->W165
2732.0000 M52 10000 17 1172.0000 P2 P9 280 N P2->P71->P99->P87->P41->P79->P34->P1->P78->P26->P12->P119->P132->P115->P33->W167->P130->P9
3056.0000 M32 10000 24 2096.0000 P99 P66 265 N P99->P126->P2->P71->P41->P87->P34->P1->P79->P78->P26->P12->P119->P132->P115->P33->W167->P130->P9->P145->W194->P96->P21->P88->P66
3531.0000 M31 10000 5 2601.0000 P96 P73 256 N P96->P36->P84->P148->P90->P73
3621.0000 M65 10000 14 1671.0000 P86 P124 272 N P86->P5->P122->P37->P13->W154->P3->P60->P95->W185->W194->W180->P135->P40->P124
4277.0000 M121 10000 4 647.0000 P58 P54 289 N P58->P78->P86->P6->P54
4996.0000 M119 10000 22 1426.0000 P119 P17 276 N P119->P6->P137->W154->W177->P49->P136->P44->P134->P61->P3->P84->P37->P33->P56->P14->P135->P64->P131->P20->P35->P100->P17
5210.0000 M135 10000 14 1160.0000 P124 P122 280 N P124->P46->P115->P110->P5->P120->P30->P98->P141->P43->P61->P0->P94->P105->P122
5214.0000 M151 10000 3 684.0000 P52 W158 288 N P52->P99->P29->W158
5214.0000 M110 10000 22 1914.0000 P116 W193 268 N P116->P32->P25->P112->P11->P99->P90->P84->P33->P6->P104->P118->P126->P107->P7->P48->P134->P124->W158->W160->W170->W181->W193
5561.0000 M26 10000 46 4781.0000 P138 P147 220 N P138->P11->P126->W167->W175->P136->P115->P72->P65->P79->P43->P84->P130->P134->P27->P44->P99->P119->P113->P145->P24->P66->P141->P123->P108->P9->P69->P87->P61->P22->P47->P88->P20->P103->P148->P55->P73->P121->P58->P140->P62->P86->P135->P60->P7->P97->P147
5602.0000 M50 10000 46 4102.0000 P8 W159 231 N P8->P66->P17->P65->P130->P99->P43->P113->P141->P24->P45->P108->P123->P69->P118->P42->P53->P54->P12->P4->P36->W189->W196->W179->W182->W160->P131->P14->P32->P11->P126->P88->P7->P140->P104->P125->P124->P103->P51->P79->W151->W171->W157->W150->W192->W197->W159
5844.0000 M180 10000 9 444.0000 P113 P2 292 N P113->P105->P52->P0->P127->P74->P30->P46->P134->P2
5865.0000 M191 10000 2 135.0000 P64 P77 297 N P64->P12->P77
5927.0000 M148 10000 12 1487.0000 W167 P140 275 N W167->W158->W169->W152->W155->W185->W162->W153->W156->P13->P144->P93->P140
6825.0000 M207 10000 4 615.0000 P32 P98 289 N P32->W168->P61->P103->P98
7409.0000 M228 10000 10 569.0000 P100 P82 290 N P100->W166->P129->W158->W154->W182->W160->W164->W152->P148->P82
7850.0000 M69 10000 33 5780.0000 P1 P81 203 N P1->P12->P28->P9->P26->P87->P119->P83->P93->W195->P72->P142->P2->P10->P115->P106->P91->P45->P120->P128->W197->W189->P52->P118->P94->P84->P43->W175->W185->P66->P29->P64->P134->P81
8029.0000 M170 10000 31 2929.0000 P70 P59 251 N P70->P111->P58->P71->P92->P83->P22->P78->P14->P27->P101->P67->P60->P37->P95->P117->P20->P87->P141->P138->P3->P41->P104->P5->W195->W186->W188->P68->P89->P82->P54->P59
8752.0000 M291 10000 2 22.0000 P58 P117 299 N P58->P67->P117
8801.0000 M220 10000 26 2201.0000 P31 P142 263 N P31->P19->P141->W161->W186->W172->W156->W196->W173->W183->P95->P101->P87->P117->P3->P41->P104->P5->W195->W152->P15->P18->P16->P89->P9->P54->P142
8989.0000 M144 10000 52 4669.0000 P43 W159 222 N P43->P48->P65->P4->P108->W176->W175->W186->W154->P124->W184->W163->W178->P76->P51->P95->P15->P25->P5->P127->P113->P6->P74->P52->P30->P141->P134->P33->P112->P118->W166->W193->W174->W179->W188->P69->P16->P66->P122->P29->P105->P14->P10->P63->P100->P42->P37->P106->P78->P94->P20->W161->W159
9299.0000 M142 10000 67 5039.0000 P98 P99 216 N P98->P65->P149->P43->P48->P4->P108->W176->W175->W186->W154->P124->W184->W163->W178->P76->P51->P95->P15->P25->P5->P127->P113->P6->P74->P52->P30->P141->P134->P33->P112->W166->P118->P122->P84->P105->P16->P0->P132->W174->P46->P69->P2->P66->P10->P103->P139->P131->P40->P7->P61->P81->P86->P137->P45->P31->P102->P70->P116->P57->P106->P121->P94->P55->P128->P32->P24->P99
9450.0000 M168 10000 39 4410.0000 P34 P17 226 N P34->P51->P118->P84->P15->P76->P107->P134->P5->P49->P36->P132->P32->P85->P16->P69->P6->P29->P141->P125->P122->P90->W192->W155->W163->P112->P61->P31->P78->P10->P143->P20->P42->P148->P63->P50->P11->P83->P110->P17
9617.0000 M100 10000 42 6617.0000 P30 P110 189 N P30->P35->P106->W185->W164->W166->W193->W167->P139->W151->W187->P117->P109->P78->P82->P54->P47->P13->P114->P64->P12->P77->P140->P20->P144->P5->P41->P138->P60->P91->P8->P83->P136->P28->P135->P107->W162->P17->P42->P11->P50->P93->P110
9618.0000 M290 10000 12 918.0000 P75 W192 284 N P75->P98->P92->P51->P116->P144->P25->W180->P72->P5->W161->W157->W192
9815.0000 M234 10000 27 2795.0000 P68 W151 253 N P68->P83->P92->P18->P89->P3->P104->P59->P54->P82->P142->P41->P1->W182->P136->W171->W180->W155->W163->W174->W185->W191->W186->W158->P135->P123->W181->W151
10147.0000 M300 10000 12 1147.0000 P105 P79 280 N P105->P16->P33->P49->P125->P120->P116->P83->P144->P113->P143->P59->P79
10163.0000 M287 10000 15 1553.0000 P83 P140 274 N P83->P11->P42->P17->P50->P28->P110->P93->P107->P108->P60->P56->P46->P47->P13->P140
10207.0000 M282 10000 27 1747.0000 W166 P116 270 N W166->P133->P11->P149->P18->P74->P23->P106->P86->P14->P94->P83->P115->P67->P58->P56->P36->P4->P90->P127->P140->P28->P6->P103->P132->P54->P53->P116
10361.0000 M205 10000 57 4211.0000 W188 P108 229 N W188->W178->W174->W154->W167->W179->P84->P4->P10->P132->P16->P66->P103->P139->P131->P40->P98->P7->P113->P61->P81->P74->P86->P137->P33->P6->P112->P45->P31->P57->P116->P121->P106->P122->P94->P55->P43->P99->P32->P127->P111->P128->P95->P24->P48->P44->P78->P134->P148->P102->P18->P82->W159->W193->W166->W165->W180->P108
10717.0000 M285 10000 10 2167.0000 W182 W194 263 N W182->W186->W170->P7->W193->W153->W195->W188->W167->W161->W194
10953.0000 M33 10000 96 9963.0000 P43 W152 133 N P43->P54->P135->P130->P40->P68->W181->W177->W191->W160->W153->W189->W185->P137->P38->P107->P84->P22->P44->P96->P36->P148->W172->W169->P76->P2->P142->P52->P15->P20->P141->P73->P46->P85->P56->P108->P149->P90->P120->P48->P98->P7->P4->P65->P124->W184->W163->W178->P51->P95->P25->P5->P127->P113->P6->P74->W194->W193->W188->W166->P134->P33->P112->P118->P122->P132->P16->P105->P69->P0->P66->P10->P103->P139->P131->P61->P81->P86->P102->P31->P70->P45->P97->W174->W165->W158->W167->W173->W195->W187->P28->P60->P11->P27->P42->W176->W152
11118.0000 M327 10000 8 1308.0000 P145 P7 278 N P145->W189->W193->P48->P8->P147->P18->P21->P7
11451.0000 M330 10000 25 1551.0000 W182 W166 274 N W182->W154->W171->W197->W153->W163->W151->P38->P75->P70->P86->P117->P23->P122->P76->P46->W158->W175->W196->W195->W184->W194->W190->W178->W169->W166
11746.0000 M296 10000 34 2866.0000 P20 P13 252 N P20->P14->P148->P143->P43->W183->W197->W176->W155->P40->P56->P83->P140->P94->P54->P116->P132->P53->P128->P59->P60->P113->P32->P6->P44->P118->P62->P119->P52->P70->P37->P102->P17->P61->P13
12080.0000 M340 10000 17 1880.0000 P57 P68 268 N P57->P55->P53->P117->P6->P76->P79->P122->P60->P110->P130->P75->P113->P63->P127->P19->P132->P68
12204.0000 M216 10000 40 5724.0000 P19 P119 204 N P19->P31->P48->P50->P77->P76->P78->P144->P105->P18->P23->P56->P86->P89->P149->P90->P67->P74->P142->P49->P120->P106->P36->P28->P6->P58->P127->P141->P79->P13->P17->P59->P41->P124->P84->P121->P133->P140->P37->P102->P119
