# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
713.0000 M4 10000 4 593.0000 P28 P115 290 N P28->P3->P60->P8->P115
1028.0000 M6 10000 8 848.0000 P143 P42 285 N P143->P140->P86->P149->P55->P108->P138->P134->P42
1242.0000 M17 10000 7 732.0000 P97 P135 287 N P97->P137->W158->W151->W194->P94->P17->P135
1613.0000 M52 10000 2 53.0000 P2 P9 299 N P2->P40->P9
1823.0000 M45 10000 7 473.0000 P32 P144 292 N P32->P128->P93->P145->P36->P141->P16->P144
2286.0000 M31 10000 8 1356.0000 P96 P73 277 N P96->P75->P97->P17->P126->P98->P29->P143->P73
2558.0000 M67 10000 7 548.0000 P120 P110 290 N P120->P25->P40->P82->P20->P35->P140->P110
2580.0000 M59 10000 13 810.0000 W194 P90 286 N W194->P141->P24->P127->P37->P144->P112->P46->P123->P52->P84->W155->P6->P90
2872.0000 M73 10000 7 682.0000 P91 W184 288 N P91->W189->W150->W153->W174->W181->W190->W184
3580.0000 M117 10000 4 70.0000 W173 W188 298 N W173->W187->W183->W178->W188
3610.0000 M120 10000 2 10.0000 P107 P10 299 N P107->P139->P10
4183.0000 M34 10000 26 3163.0000 P121 W165 247 N P121->P41->P29->P94->P143->P97->P17->W191->W150->W173->W193->W153->W179->W189->W174->W181->W190->W184->W187->W155->W167->W157->W169->W158->W182->W178->W165
4653.0000 M152 10000 4 93.0000 P67 P98 298 N P67->P65->P57->P74->P98
4969.0000 M137 10000 8 859.0000 P113 P125 285 N P113->P141->P82->W164->W156->W169->W182->P76->P125
5074.0000 M78 10000 21 2734.0000 P122 P123 254 N P122->P135->P21->P99->P26->P126->P128->P149->P2->P143->P116->P16->P25->P93->P44->P15->P127->P32->P118->P112->P54->P123
5350.0000 M44 10000 37 4030.0000 P111 W164 232 N P111->P83->P99->W156->W157->P38->P54->P71->P61->P13->P39->P119->P30->P63->W166->W190->P148->P96->P67->P86->P3->P107->P12->P56->P81->P57->P117->P108->P23->P70->P139->P22->P36->P91->P98->P140->W163->W164
5406.0000 M87 10000 19 2796.0000 P47 W174 253 N P47->P58->P34->W189->W163->W193->W164->P147->P122->P32->W190->W197->W173->W167->W154->W162->W155->W172->W151->W174
5566.0000 M128 10000 20 1726.0000 W160 P16 271 N W160->P9->P41->P96->P0->P21->P111->P48->P147->P64->P19->P103->P5->P20->P39->P15->P85->P115->P138->P51->P16
5937.0000 M171 10000 14 807.0000 W152 P123 286 N W152->W177->W160->W196->W157->P81->P121->P104->P31->P32->P130->P113->P146->P88->P123
6044.0000 M24 10000 34 5324.0000 P19 W182 211 N P19->P63->P90->P91->P12->P55->W172->P68->P56->P83->P98->P67->P104->P115->P108->P57->P139->P117->P70->P135->P8->P22->P144->P61->P101->P37->P34->P40->P65->P42->P38->P79->W190->W195->W182
6540.0000 M169 10000 22 1470.0000 P111 P28 275 N P111->P51->P42->P104->P136->P23->P79->P22->P71->P91->P126->P135->P96->P75->P92->P121->P124->P38->P46->P123->P2->P57->P28
6823.0000 M216 10000 4 343.0000 P19 P119 294 N P19->P108->P73->P97->P119
7330.0000 M146 10000 35 2950.0000 P0 P53 250 N P0->P21->P111->P48->P147->P64->P19->P103->P5->P20->P39->P15->P85->P9->P115->P96->P51->P138->P17->P16->P117->W163->W160->W165->P23->W152->W154->W185->W164->P76->P83->P104->P31->P50->P61->P53
7401.0000 M141 10000 29 3171.0000 P136 P30 247 N P136->P90->P16->P110->P137->P93->P78->P106->W159->P17->P51->P96->P117->P138->P23->W167->W160->W163->W162->W188->W179->W175->P0->P10->P83->P29->P92->P9->P135->P30
7638.0000 M241 10000 12 408.0000 P144 P1 293 N P144->W178->W197->W183->W184->W150->W172->W181->W188->W162->W195->W157->P1
7896.0000 M231 10000 16 966.0000 P37 P116 283 N P37->P102->P46->P120->P17->P145->P109->P74->P112->P44->P105->P31->P85->P39->P135->P130->P116
7939.0000 M60 10000 43 6139.0000 P99 P7 197 N P99->P71->P54->P119->P61->P13->P39->P30->P63->W166->W190->P148->P96->P67->P86->P3->P107->P12->P56->P81->P57->P117->P108->P23->P70->P139->P22->P36->P91->P98->P38->P144->P52->W192->W191->P142->W157->W188->W183->W186->W172->W161->P77->P7
8038.0000 M237 10000 16 928.0000 W180 P135 284 N W180->W193->W194->W173->W160->W163->W152->W171->W182->W190->P118->P100->P31->P67->P112->P71->P135
8125.0000 M222 10000 17 1465.0000 P78 P74 275 N P78->W152->W154->W185->W164->P76->P83->P104->P31->P9->P28->P61->W174->W196->P115->P81->P18->P74
8553.0000 M256 10000 20 873.0000 P61 W158 285 N P61->P9->P104->W185->W171->W166->W159->W160->W193->P84->W152->W197->W172->W195->W189->W187->W170->W176->W173->W168->W158
8965.0000 M267 10000 2 955.0000 P77 P48 284 N P77->P12->P48
9283.0000 M175 10000 33 4033.0000 W159 P85 232 N W159->P106->P110->P50->P113->P112->P117->P88->P122->P23->P96->P75->P135->P69->P92->W175->W179->W188->W191->W189->W172->W165->P22->P97->P3->P77->P84->P62->P63->P72->P148->P91->P147->P85
9321.0000 M248 10000 26 1881.0000 W159 P131 268 N W159->W161->W169->W150->W172->W189->W188->W168->W153->W181->W195->W194->W184->W185->W158->W171->W152->W160->W197->P119->P61->P90->P145->P76->P0->P125->P131
9506.0000 M297 10000 12 596.0000 P146 P141 290 N P146->P123->P9->P33->P106->P149->P49->P2->P135->P69->P134->P30->P141
9695.0000 M74 10000 47 7475.0000 P30 W168 175 N P30->P96->P71->P115->P81->P107->P70->P56->P57->P98->P108->P148->P139->P1->P135->P104->P65->P67->P74->P117->P8->P23->P144->W192->W170->W157->P124->P111->W190->W154->W152->P78->W158->W180->W196->W184->W164->W182->P125->P0->P136->W197->W179->W177->P109->P105->P131->W168
9710.0000 M162 10000 36 4850.0000 P93 P12 219 N P93->P137->P110->P63->P50->P113->P112->P117->P88->P122->P23->P96->P75->P135->P69->P92->W175->W179->W188->W191->W189->W172->W165->P22->P97->P3->P77->P84->P62->P72->P148->P91->P147->P85->P70->P132->P12
9781.0000 M304 10000 3 661.0000 P128 P28 288 N P128->P129->P106->P28
9864.0000 M215 10000 22 3414.0000 W167 P19 243 N W167->W191->W188->W189->W172->W165->P22->P97->P3->P77->P84->P62->P63->P72->P148->P91->P147->P85->P70->P132->P12->P65->P19
10052.0000 M219 10000 23 3482.0000 W188 W167 241 N W188->W191->W189->W172->W165->P22->P97->P3->P77->P84->P62->P63->P72->P148->P91->P147->P85->P70->P132->P12->P65->P19->W160->W167
10377.0000 M176 10000 29 5097.0000 P34 P7 215 N P34->P8->P101->P42->P65->P40->P38->P79->W190->W195->W182->P83->P133->P37->P75->P30->P96->P66->P27->P107->P18->P121->P36->P16->P140->P55->P5->P35->P21->P7
10598.0000 M290 10000 20 1898.0000 P75 W192 268 N P75->P7->W171->W161->W176->W178->W174->W162->W153->W186->W191->W175->P39->W173->P98->P51->P46->P80->W158->W197->W192
11113.0000 M65 10000 67 9163.0000 P86 P124 147 N P86->W172->P12->P107->P83->P56->P67->P30->P38->P3->P80->P73->P97->P45->P119->P20->P72->P148->P49->P62->P125->P95->P47->P35->P64->P110->P69->P126->P60->P103->P51->P8->P10->P32->P11->P22->P96->P141->P42->P91->P29->P0->P132->P102->P14->P66->P85->P34->P144->P77->W194->W160->W176->W189->W152->W187->W177->W151->W195->W168->P55->P15->P6->P76->P4->P99->P40->P124
11145.0000 M122 10000 80 7485.0000 P63 P123 175 N P63->P21->P0->P16->P90->P136->P93->P137->P110->P106->P104->P112->P130->P122->P113->P121->P88->P31->P50->P146->P67->P5->P129->P46->P37->P64->P57->P89->P29->P61->W156->P23->P26->P119->P108->P6->P2->W196->W180->W167->W191->W184->P9->P116->P145->P51->P76->W175->W172->P60->P118->P69->P82->P41->P126->P99->P107->P149->P109->W170->W197->W179->W177->P20->P100->P10->P34->P105->P13->P30->P96->P131->P18->P124->P147->W182->P79->P94->P43->P56->P123
11264.0000 M225 10000 51 4514.0000 P113 P56 224 N P113->P81->P41->P115->P82->P23->P32->P119->P26->P20->P66->P69->P140->P122->P15->P64->P55->P11->P45->P57->P74->P38->P120->P137->W159->W176->P135->P34->P105->P149->P13->P10->P96->P30->P61->P40->P130->P124->P63->P121->P147->W182->P79->P94->P43->W179->W191->P102->P47->P134->P117->P56
11575.0000 M351 10000 14 1045.0000 W165 P76 282 N W165->W188->W186->W195->W155->W178->W150->W197->W164->W182->W169->P54->P47->P147->P76
11613.0000 M300 10000 6 2613.0000 P105 P79 256 N P105->P126->P90->W175->P107->P71->P79
11907.0000 M99 10000 27 8937.0000 P22 W169 151 N P22->P83->P91->P18->P75->P58->P43->W162->W161->W178->W168->W158->W196->W182->W173->W186->W165->W197->W180->W163->W151->W176->W167->P101->P132->P85->W194->W169
11996.0000 M252 10000 29 4436.0000 P43 P65 226 N P43->W162->W183->W161->P75->P7->P21->P85->P51->P8->P0->P11->W167->W180->W173->W176->W163->W158->W168->W194->W179->W166->W153->W175->W189->W172->W197->P148->P142->P65
12163.0000 M349 10000 42 1693.0000 W186 P19 271 N W186->W192->W156->W167->W178->W164->W194->W174->W188->W195->W155->W197->W150->P36->P78->P149->P18->P63->P2->P140->P17->P146->P38->P129->P10->P25->P6->P127->P81->P125->P70->P35->P12->P62->P133->P39->P34->P121->P7->P26->P37->P59->P19
12336.0000 M151 10000 77 7806.0000 P52 W158 169 N P52->P53->P113->P50->P85->P9->P62->P107->P148->P131->P130->P56->P47->P143->P41->P15->P93->P57->P95->P12->P91->P73->P103->P108->P87->P70->P122->P19->P20->P49->P2->P146->P98->P111->P27->P147->P24->P84->P90->P123->P0->P141->P25->P96->P34->P42->P29->P66->P14->P109->P118->P36->P125->W164->P149->P13->P135->P55->W151->W170->W166->W193->W153->W155->W157->W192->W161->W169->W179->W176->W174->W182->W189->W175->W177->W183->W156->W158
12584.0000 M407 10000 9 374.0000 P97 P112 293 N P97->P71->P50->P110->P96->P120->P30->P4->P139->P112
13317.0000 M228 10000 69 6477.0000 P100 P82 192 N P100->P44->P48->W180->W193->W194->W173->W160->W163->W152->W171->W182->W190->P118->P31->P67->P112->P71->P135->P114->P92->P149->P78->P134->P39->P52->P98->P121->P80->P146->P81->P75->P17->P141->W164->W178->W192->W156->W167->W174->W188->W195->W155->W197->W150->P36->P2->P18->P63->P129->P140->P25->P38->P37->P35->P10->P59->P127->P7->P6->P46->P12->P22->P70->P55->P5->P133->P69->P84->P82
13419.0000 M159 10000 68 8649.0000 P134 P22 155 N P134->W194->P86->P75->P19->P129->P88->P69->P47->P82->P41->P57->P12->P112->P93->P95->P119->P87->P91->P135->P73->P125->P35->P64->P110->P126->P60->P103->P51->P8->P10->P32->P11->P72->P45->P131->P83->P61->P36->P66->P96->P118->P136->P77->P56->P63->P105->P4->P99->P38->P121->P124->P6->P53->P76->P26->W177->P102->P27->P79->P2->P108->P28->P46->W174->W183->W150->W181->P22
13586.0000 M411 10000 22 1256.0000 P84 P93 279 N P84->P81->P62->P15->P46->P40->P41->P59->P135->P37->P64->P42->P22->P119->W156->W181->W178->W183->P25->P28->P117->P21->P93
13589.0000 M193 10000 26 7799.0000 W187 P90 170 N W187->W179->W173->W176->W161->P141->P99->P21->P144->P7->P94->P12->P77->P95->P62->P26->P142->P35->P70->P3->P116->P132->P101->W194->P85->P106->P90
